khipu_id,color_entropy,n_colors,transitions,transition_rate,visual_load,time_to_locate,n_color_records
1000000,2.2684727516311214,5,14,0.7368421052631579,3.0053148568942794,7.506506691120157,19
1000001,0.0,1,0,0.0,0.0,3.0,7
1000002,2.6983537370899624,8,25,0.8620689655172413,3.5604227026072035,9.136968695271035,29
1000003,2.051533168647338,6,22,0.5945945945945946,2.6461277632419327,8.368316845761393,37
1000004,2.05712807150532,7,114,0.6477272727272727,2.704855344232593,12.304577326841303,176
1000005,0.2863969571159562,2,6,0.1,0.38639695711595623,6.523811071319176,60
1000006,1.6719811714830817,4,53,0.654320987654321,2.326302159137403,10.517431711343496,81
1000007,2.67140373981209,8,257,0.7099447513812155,3.3813484911933056,14.541072187346327,362
1000008,0.938240048447182,3,16,0.27586206896551724,1.2141021174126991,7.505441131944419,58
1000009,2.3282270675733923,7,70,0.56,2.8882270675733923,10.88455668065987,125
1000010,2.558419607399264,7,58,0.6590909090909091,3.217510516490173,10.743830465012433,88
1000011,1.637411238968545,4,16,0.3902439024390244,2.0276551414075694,7.496636417033886,41
1000012,2.7852326082661905,11,69,0.6106194690265486,3.395852077292739,11.00518568653082,113
1000013,0.904381457724494,2,15,0.6,1.5043814577244938,7.520703549025747,25
1000014,1.4990004419361498,3,28,0.7368421052631579,2.2358425471993075,9.179909116971274,38
1000015,1.4681773212788294,3,19,0.59375,2.061927321278829,8.039503127727535,32
1000017,1.9385610475112869,5,35,0.7777777777777778,2.7163388252890646,9.81966569965691,45
1000018,1.369269615400919,8,122,0.27539503386004516,1.6446646492609642,11.21635432164291,443
1000019,1.6390409019580965,6,71,0.44654088050314467,2.085581782461241,10.591468313359078,159
1000020,2.5539230053016992,10,460,0.5935483870967742,3.147471392398473,15.297925625936905,775
1000021,2.1158929815389627,7,78,0.6724137931034483,2.788306774642411,11.490092720682592,116
1000022,1.9031603474815648,6,110,0.6832298136645962,2.586390161146161,12.354654352681573,161
1000023,2.632383574538516,14,277,0.5,3.132383574538516,13.674515941856203,554
1000024,1.5828901630052248,9,244,0.44935543278084716,2.032245595786072,13.170963639160252,543
1000025,1.7338291851212642,7,452,0.5274212368728122,2.2612504219940766,14.884466153193587,857
1000026,1.359992492218488,3,4,0.21052631578947367,1.5705188080079617,5.231807693811018,19
1000027,1.5394910703001343,3,14,0.7,2.2394910703001343,7.466939618723893,20
1000028,1.3566695198333107,3,8,0.38095238095238093,1.7376219007856917,6.158262711451505,21
1000029,2.4096644055558936,8,94,0.34944237918215615,2.7591067847380497,10.899197255499821,269
1000030,1.3141506221482602,3,5,0.1724137931034483,1.4865644152517086,5.752906215541023,29
1000031,1.0529815751302696,3,3,0.2,1.2529815751302695,4.8,15
1000032,2.165301428820179,7,62,0.4305555555555556,2.595856984375734,10.271258837104698,144
1000033,0.9998484829291058,2,8,0.11594202898550725,1.115790511914613,6.839924526155977,69
1000034,2.1842676894506843,7,67,0.6633663366336634,2.847634026084348,11.098687697536745,101
1000035,1.5778634858211928,3,8,0.21052631578947367,1.7883898016106665,6.398118475464828,38
1000036,0.9587118829771316,2,8,0.38095238095238093,1.3396642639295124,6.158262711451505,21
1000037,1.0086232677764626,3,11,0.2972972972972973,1.30592056507376,6.808122179602489,37
1000038,1.0,2,1,0.16666666666666666,1.1666666666666667,3.2752474090672052,6
1000039,2.193968271381192,7,116,0.9133858267716536,3.107354098152846,13.393700787401576,127
1000040,1.7505709333195685,4,57,0.5588235294117647,2.3093944627313334,10.42307435119737,102
1000041,1.203926288640187,3,32,0.6530612244897959,1.8569875131299827,9.329639823913318,49
1000042,1.8609028733303812,5,15,0.20270270270270271,2.063605576033084,7.491417073704504,74
1000043,2.2809509262246,5,13,0.5909090909090909,2.8718600171336908,7.1965758391816115,22
1000044,2.30146494383731,6,9,0.3103448275862069,2.6118097714235167,6.429718711487024,29
1000045,0.5410392626378123,5,35,0.11146496815286625,0.6525042307906785,9.224278975850831,314
1000046,0.7024665512903904,2,2,0.09523809523809523,0.7977046465284856,4.88413939184085,21
1000047,1.8086822247006176,4,65,0.9027777777777778,2.7114600024783955,11.777860618980032,72
1000048,0.266764987803026,2,1,0.045454545454545456,0.31221953325757146,4.729178408605059,22
1000049,1.402934238195389,3,5,0.21739130434782608,1.6203255425432153,5.581693479138799,23
1000050,2.0977561825301105,5,42,0.7636363636363637,2.861392546166474,10.24206231708341,55
1000051,1.6358275845379553,4,22,0.7333333333333333,2.3691609178712887,8.587273604670584,30
1000052,1.376669953397292,3,42,0.8936170212765957,2.270286974673888,10.575780054557082,47
1000053,1.0242580622789528,4,112,0.3888888888888889,1.4131469511678416,11.354063447917609,288
1000054,0.0,1,0,0.0,0.0,4.459431618637297,21
1000055,1.4083445441575104,4,21,0.875,2.2833445441575106,8.707230355827608,24
1000056,0.9191427133215982,4,15,0.36585365853658536,1.2849963718581836,7.365116479892941,41
1000057,0.8883085725706081,3,48,0.2926829268292683,1.1809914993998765,9.522318959878739,164
1000058,1.2799749139041574,3,13,0.24074074074074073,1.520715654644898,7.173168533447263,54
1000059,1.4772170014624826,3,6,0.375,1.8522170014624826,5.620261406719216,16
1000060,1.492614068017126,3,24,0.8571428571428571,2.349756925159983,9.02196470523692,28
1000061,1.9056390622295665,4,7,0.875,2.7806390622295662,5.943609377704336,8
1000062,1.4056390622295665,3,5,0.625,2.0306390622295662,5.151128127343757,8
1000063,2.492947950155823,7,42,0.11731843575418995,2.610266385910013,9.483620149522961,358
1000064,1.848987989077528,4,20,0.8333333333333334,2.6823213224108615,8.513736347920329,24
