khipu_id,has_summation,original_match_rate,error_detectable,relative_impact,error_magnitude,num_valued_cords
1000132,True,0.1111111111111111,1.0,0.021212121212121245,5.6000000000000085,27
1000133,False,0.0,0.0,1.0,11.900000000000006,12
1000134,False,0.0,0.0,1.0,4.600000000000001,8
1000135,False,0.0,0.0,1.0,1.6000000000000014,15
1000136,False,0.0,0.0,1.0,27.400000000000034,4
1000137,True,1.0,1.0,0.01614987080103359,12.5,23
1000138,True,0.1,1.0,0.0014519056261343025,2.400000000000002,33
1000139,False,0.0,0.0,1.0,2.5000000000000036,15
1000140,True,0.0535714285714285,1.0,0.0012356447158017175,8.500000000000014,206
1000141,False,0.0,0.0,1.0,22.400000000000034,8
1000142,False,0.0,0.0,1.0,6.0,17
1000143,False,0.0,0.0,1.0,1.6000000000000014,29
1000144,True,0.05,1.0,0.0005524556654328498,20.00000000000003,81
1000145,False,0.0,0.0,1.0,3.0,24
1000146,False,0.0,0.0,1.0,1443.0000000000018,57
1000147,True,0.0147058823529411,1.0,0.0003549470748558033,5.6000000000000085,268
1000148,True,0.0232558139534883,1.0,0.0009398884527990094,9.100000000000009,168
1000149,False,0.0,0.0,1.0,2.0,15
1000150,False,0.0,0.0,1.0,35.50000000000006,28
1000151,False,0.0,0.0,1.0,143.00000000000023,22
1000152,False,0.0,0.0,1.0,144.9000000000001,31
1000154,False,0.0,0.0,1.0,0.40000000000000036,5
1000155,False,0.0,0.0,1.0,22.00000000000003,1
1000156,False,0.0,0.0,1.0,13.0,5
1000157,False,0.0,0.0,1.0,4.500000000000007,9
1000158,False,0.0,0.0,1.0,6.400000000000006,28
1000159,True,0.2857142857142857,1.0,0.0006240249609984405,0.40000000000000036,51
1000160,False,0.0,0.0,1.0,13.400000000000006,3
1000161,False,0.0,0.0,1.0,12.0,11
1000162,True,0.1428571428571428,1.0,0.00833333333333334,7.900000000000006,28
1000163,False,0.0,0.0,1.0,1.6000000000000014,19
1000164,False,0.0,0.0,1.0,18.400000000000006,79
1000165,False,0.0,0.0,1.0,4.900000000000006,64
1000166,False,0.0,0.0,1.0,3.9000000000000057,23
1000167,False,0.0,0.0,1.0,6.400000000000006,20
1000168,False,0.0,0.0,1.0,2.900000000000002,3
1000169,False,0.0,0.0,1.0,0.10000000000000009,12
1000170,True,0.375,1.0,0.000980392156862746,0.10000000000000009,33
1000171,False,0.0,0.0,1.0,2.5000000000000036,15
1000172,False,0.0,0.0,1.0,0.10000000000000009,23
1000173,False,0.0,0.0,1.0,1.9000000000000021,8
1000174,False,0.0,0.0,1.0,4.0,6
1000176,False,0.0,0.0,1.0,111.0,19
1000177,False,0.0,0.0,1.0,0.40000000000000036,20
1000178,False,0.0,0.0,1.0,6.400000000000006,26
1000179,False,0.0,0.0,1.0,6.0,24
1000180,False,0.0,0.0,1.0,0.10000000000000009,30
1000182,False,0.0,0.0,1.0,142.10000000000014,3
1000183,True,0.1666666666666666,1.0,0.0008398950131233604,1.6000000000000014,184
1000184,False,0.0,0.0,1.0,0.40000000000000036,42
1000185,False,0.0,0.0,1.0,6.900000000000006,75
1000186,False,0.0,0.0,1.0,0.10000000000000009,9
1000187,False,0.0,0.0,1.0,1.4000000000000021,11
1000188,False,0.0,0.0,1.0,0.20000000000000018,27
1000189,False,0.0,0.0,1.0,7.0,10
1000190,False,0.0,0.0,1.0,185.00000000000023,4
1000191,False,0.0,0.0,1.0,5.000000000000007,10
1000192,True,0.1111111111111111,1.0,0.001475107559926246,2.400000000000002,60
1000194,False,0.0,0.0,1.0,1.0,5
1000195,False,0.0,0.0,1.0,9.100000000000009,2
1000197,True,0.25,1.0,0.007321131447587364,4.400000000000006,41
1000198,True,0.1888888888888888,1.0,0.0011549566891241583,3.6000000000000014,229
1000199,False,0.0,0.0,1.0,10.000000000000014,22
1000200,False,0.0,0.0,1.0,6.400000000000006,35
1000201,False,0.0,0.0,1.0,10.000000000000014,122
1000204,False,0.0,0.0,1.0,5.900000000000006,3
1000205,False,0.0,0.0,1.0,1.0,4
1000206,False,0.0,0.0,1.0,32.60000000000002,12
1000207,False,0.0,0.0,1.0,1.4000000000000021,28
1000208,True,0.1333333333333333,1.0,0.0037828947368421083,6.900000000000006,41
1000209,True,0.0555555555555555,1.0,0.002766355140186918,7.400000000000006,52
1000210,False,0.0,0.0,1.0,13.600000000000023,10
1000211,False,0.0,0.0,1.0,0.10000000000000009,26
1000212,True,0.1111111111111111,1.0,0.0012106537530266344,2.0,45
1000213,False,0.0,0.0,1.0,8.400000000000006,30
1000214,True,0.1428571428571428,1.0,0.0012690355329949238,3.5,40
1000216,False,0.0,0.0,1.0,7.400000000000006,8
1000217,False,0.0,0.0,1.0,0.10000000000000009,4
1000218,False,0.0,0.0,1.0,26.100000000000023,5
1000220,False,0.0,0.0,1.0,0.40000000000000036,16
1000221,False,0.0,0.0,1.0,0.10000000000000009,30
1000222,True,0.0833333333333333,1.0,0.0195364238410596,59.0,38
1000223,False,0.0,0.0,1.0,6.400000000000006,26
1000224,False,0.0,0.0,1.0,1.1000000000000014,2
1000225,False,0.0,0.0,1.0,0.0,8
1000226,False,0.0,0.0,1.0,0.10000000000000009,5
1000227,True,0.4444444444444444,1.0,0.0037974683544303813,0.9000000000000004,38
1000228,False,0.0,0.0,1.0,2.0,35
1000229,False,0.0,0.0,1.0,3.6000000000000014,74
1000230,True,0.1428571428571428,1.0,0.0005063291139240511,0.40000000000000036,64
1000231,False,0.0,0.0,1.0,76.10000000000002,5
1000232,False,0.0,0.0,1.0,1.0,12
1000233,False,0.0,0.0,1.0,4.0,58
1000234,False,0.0,0.0,1.0,26.100000000000023,50
1000235,False,0.0,0.0,1.0,8.0,65
