Provenance,Count,Summation Rate,Avg Size,Avg Depth,Avg Branching,Numeric Coverage,Match Rate,Lat,Lon
Cajamarquilla,4,0.0,14.0,1.0,13.0,0.89685110211426,0.0,-11.9833,-76.9167
Cuzco,1,0.0,33.0,2.0,4.0,0.5454545454545454,0.0,-13.5319,-71.9675
Ica,49,0.1836734693877551,59.83673469387755,1.7551020408163265,20.212166477361244,0.8048148098112796,0.03796566245545836,-14.0678,-75.7286
Lima,1,0.0,10.0,2.0,4.5,0.9,0.0,-12.0464,-77.0428
Nazca,13,0.38461538461538464,238.6153846153846,2.3076923076923075,6.531829041488235,0.686821946887778,0.0627526786335324,-14.8333,-74.9333
Pachacamac,90,0.17777777777777778,66.73333333333333,1.9111111111111112,20.36393857565452,0.7297593368446641,0.038332564241361965,-12.2667,-76.9167
