khipu_id,model,matches,total,match_rate,has_pattern,tolerance
1000000,modulo_10,3,4,0.75,True,
1000000,positional_base10,0,4,0.0,False,
1000000,standard_tolerance_2,0,4,0.0,False,2.0
1000000,standard_tolerance_5,0,4,0.0,False,5.0
1000000,cross_level_all_descendants,0,0,0.0,False,
1000000,partial_summation,0,4,0.0,False,
1000001,modulo_10,0,0,0.0,False,
1000001,positional_base10,0,0,0.0,False,
1000001,standard_tolerance_2,0,0,0.0,False,2.0
1000001,standard_tolerance_5,0,0,0.0,False,5.0
1000001,cross_level_all_descendants,0,0,0.0,False,
1000001,partial_summation,0,0,0.0,False,
1000002,modulo_10,4,6,0.6666666666666666,True,
1000002,positional_base10,0,6,0.0,False,
1000002,standard_tolerance_2,0,6,0.0,False,2.0
1000002,standard_tolerance_5,0,6,0.0,False,5.0
1000002,cross_level_all_descendants,0,0,0.0,False,
1000002,partial_summation,0,6,0.0,False,
1000003,modulo_10,3,5,0.6,True,
1000003,positional_base10,0,5,0.0,False,
1000003,standard_tolerance_2,0,5,0.0,False,2.0
1000003,standard_tolerance_5,0,5,0.0,False,5.0
1000003,cross_level_all_descendants,0,0,0.0,False,
1000003,partial_summation,0,5,0.0,False,
1000004,modulo_10,10,15,0.6666666666666666,True,
1000004,positional_base10,0,15,0.0,False,
1000004,standard_tolerance_2,0,15,0.0,False,2.0
1000004,standard_tolerance_5,0,15,0.0,False,5.0
1000004,cross_level_all_descendants,0,1,0.0,False,
1000004,partial_summation,0,15,0.0,False,
1000005,modulo_10,3,4,0.75,True,
1000005,positional_base10,0,4,0.0,False,
1000005,standard_tolerance_2,0,4,0.0,False,2.0
1000005,standard_tolerance_5,0,4,0.0,False,5.0
1000005,cross_level_all_descendants,0,0,0.0,False,
1000005,partial_summation,0,4,0.0,False,
1000006,modulo_10,3,9,0.3333333333333333,False,
1000006,positional_base10,1,9,0.1111111111111111,False,
1000006,standard_tolerance_2,1,9,0.1111111111111111,False,2.0
1000006,standard_tolerance_5,1,9,0.1111111111111111,False,5.0
1000006,cross_level_all_descendants,0,0,0.0,False,
1000006,partial_summation,1,9,0.1111111111111111,False,
1000007,modulo_10,54,83,0.6506024096385542,True,
1000007,positional_base10,2,83,0.024096385542168676,False,
1000007,standard_tolerance_2,3,83,0.03614457831325301,False,2.0
1000007,standard_tolerance_5,3,83,0.03614457831325301,False,5.0
1000007,cross_level_all_descendants,0,36,0.0,False,
1000007,partial_summation,2,83,0.024096385542168676,False,
1000008,modulo_10,7,12,0.5833333333333334,True,
1000008,positional_base10,0,12,0.0,False,
1000008,standard_tolerance_2,0,12,0.0,False,2.0
1000008,standard_tolerance_5,0,12,0.0,False,5.0
1000008,cross_level_all_descendants,0,9,0.0,False,
1000008,partial_summation,0,12,0.0,False,
1000009,modulo_10,23,33,0.696969696969697,True,
1000009,positional_base10,1,33,0.030303030303030304,False,
1000009,standard_tolerance_2,1,33,0.030303030303030304,False,2.0
1000009,standard_tolerance_5,1,33,0.030303030303030304,False,5.0
1000009,cross_level_all_descendants,0,8,0.0,False,
1000009,partial_summation,1,33,0.030303030303030304,False,
1000010,modulo_10,3,5,0.6,True,
1000010,positional_base10,0,5,0.0,False,
1000010,standard_tolerance_2,0,5,0.0,False,2.0
1000010,standard_tolerance_5,0,5,0.0,False,5.0
1000010,cross_level_all_descendants,0,3,0.0,False,
1000010,partial_summation,0,5,0.0,False,
1000011,modulo_10,8,11,0.7272727272727273,True,
1000011,positional_base10,1,11,0.09090909090909091,False,
1000011,standard_tolerance_2,2,11,0.18181818181818182,False,2.0
1000011,standard_tolerance_5,2,11,0.18181818181818182,False,5.0
1000011,cross_level_all_descendants,1,5,0.2,False,
1000011,partial_summation,2,11,0.18181818181818182,False,
1000012,modulo_10,23,32,0.71875,True,
1000012,positional_base10,0,32,0.0,False,
1000012,standard_tolerance_2,0,32,0.0,False,2.0
1000012,standard_tolerance_5,0,32,0.0,False,5.0
1000012,cross_level_all_descendants,0,7,0.0,False,
1000012,partial_summation,0,32,0.0,False,
1000013,modulo_10,0,0,0.0,False,
1000013,positional_base10,0,0,0.0,False,
1000013,standard_tolerance_2,0,0,0.0,False,2.0
1000013,standard_tolerance_5,0,0,0.0,False,5.0
1000013,cross_level_all_descendants,0,0,0.0,False,
1000013,partial_summation,0,0,0.0,False,
1000014,modulo_10,0,0,0.0,False,
1000014,positional_base10,0,0,0.0,False,
1000014,standard_tolerance_2,0,0,0.0,False,2.0
1000014,standard_tolerance_5,0,0,0.0,False,5.0
1000014,cross_level_all_descendants,0,0,0.0,False,
1000014,partial_summation,0,0,0.0,False,
1000015,modulo_10,0,0,0.0,False,
1000015,positional_base10,0,0,0.0,False,
1000015,standard_tolerance_2,0,0,0.0,False,2.0
1000015,standard_tolerance_5,0,0,0.0,False,5.0
1000015,cross_level_all_descendants,0,0,0.0,False,
1000015,partial_summation,0,0,0.0,False,
1000017,modulo_10,6,7,0.8571428571428571,True,
1000017,positional_base10,0,7,0.0,False,
1000017,standard_tolerance_2,0,7,0.0,False,2.0
1000017,standard_tolerance_5,0,7,0.0,False,5.0
1000017,cross_level_all_descendants,0,0,0.0,False,
1000017,partial_summation,0,7,0.0,False,
1000018,modulo_10,42,105,0.4,False,
1000018,positional_base10,8,105,0.0761904761904762,False,
1000018,standard_tolerance_2,9,105,0.08571428571428572,False,2.0
1000018,standard_tolerance_5,9,105,0.08571428571428572,False,5.0
1000018,cross_level_all_descendants,2,24,0.08333333333333333,False,
1000018,partial_summation,9,105,0.08571428571428572,False,
