khipu_id,numeric_cv,standardization_score,structural_cv,numeric_cv_norm,color_flexibility,structural_cv_norm,flexibility_score,constraint_score,design_class
1000348,1.9995200976368988,0.07938016455876684,0.0,0.6665066992122995,0.9206198354412332,0.0,0.5427886303172897,0.45721136968271026,Balanced
1000349,1.7844494417264323,0.040852083261294414,0.8485281374238569,0.5948164805754774,0.9591479167387056,0.42426406871192845,0.6529501878653812,0.34704981213461883,Balanced
1000350,1.5020488939688665,0.0536053699158856,0.0,0.5006829646562888,0.9463946300841144,0.0,0.48419157488774983,0.5158084251122501,Balanced
1000351,4.921375184113054,0.3701466122914615,0.9616652224137047,1.0,0.6298533877085385,0.48083261120685233,0.7332057996746173,0.2667942003253827,Flexible
1000352,5.183362637690065,0.21871102629138794,0.8834567718731886,1.0,0.7812889737086121,0.4417283859365943,0.7669052078935619,0.23309479210643813,Flexible
1000353,5.3790401081350385,0.1768185851851638,0.7881801111529431,1.0,0.8231814148148362,0.39409005557647153,0.7651814411173923,0.23481855888260772,Flexible
1000354,1.7179683853965046,1.0000000001442695,0.0,0.5726561284655015,-1.4426948524715044e-10,0.0,0.22906245134291978,0.7709375486570802,Constrained
1000355,1.8155709568490144,0.047180469173755846,0.0,0.6051903189496715,0.9528195308262442,0.0,0.5279219868277418,0.47207801317225817,Balanced
1000356,4.64002271039703,0.23613928522759553,1.1111677990074318,1.0,0.7638607147724045,0.5555838995037159,0.7958333842828361,0.20416661571716388,Flexible
1000357,2.0833013487143575,0.4564355570889427,0.0,0.6944337829047859,0.5435644429110573,0.0,0.4408428460352315,0.5591571539647685,Balanced
1000358,3.46233389027691,0.1192293238565606,0.9577867048047944,1.0,0.8807706761434394,0.4788933524023972,0.807899208563751,0.19210079143624903,Flexible
1000359,5.569474120637763,0.2225123675209716,0.0,1.0,0.7774876324790284,0.0,0.6332462897437086,0.36675371025629144,Balanced
1000361,4.924441246363133,0.29007170879534006,0.9784828972094929,1.0,0.70992829120466,0.48924144860474644,0.759750921942822,0.240249078057178,Flexible
1000363,0.13697113240350978,0.9463668318879287,0.0,0.04565704413450326,0.053633168112071306,0.0,0.03435276808742269,0.9656472319125773,Constrained
1000365,0.5362220129288164,0.8148752401879932,0.0,0.17874067097627214,0.18512475981200682,0.0,0.1270336963341109,0.8729663036658891,Constrained
1000366,1.138223384338681,0.1459181910694768,1.3258252147247767,0.3794077947795604,0.8540818089305232,0.6629126073623883,0.6068614427996977,0.39313855720030233,Balanced
1000367,4.6683274020363,0.0,0.5291502622129182,1.0,1.0,0.2645751311064591,0.7793725393319377,0.22062746066806227,Flexible
1000368,0.7435668096420845,0.28163295081475936,1.1695468157677387,0.2478556032140282,0.7183670491852406,0.5847734078838693,0.4900843784063442,0.5099156215936558,Balanced
1000369,12.459709273041685,0.09882535465613573,1.3691953043680494,1.0,0.9011746453438643,0.6845976521840247,0.8757316892583666,0.12426831074163336,Flexible
1000371,5.853776401128441,0.06969624010011954,1.631778828950776,1.0,0.9303037598998805,0.815889414475388,0.9238579523125805,0.0761420476874195,Flexible
1000374,3.0610774208872655,0.9134957861671931,0.0,1.0,0.08650421383280693,0.0,0.4259512641498421,0.5740487358501579,Balanced
1000375,0.309479034716848,0.1512742508429603,1.2699060560084934,0.10315967823894934,0.8487257491570397,0.6349530280042467,0.48636750444396565,0.5136324955560343,Balanced
1000376,0.6712858942742655,0.8682896302827654,0.0,0.22376196475808852,0.1317103697172346,0.0,0.12901789681840578,0.8709821031815942,Constrained
1000377,4.344578599972168,0.42863805241233743,1.1627978179512115,1.0,0.5713619475876626,0.5813989089756058,0.7458282569689805,0.2541717430310195,Flexible
1000378,2.994279734443157,0.09750545222108975,0.0,0.9980932448143857,0.9024945477789102,0.0,0.6699856622594274,0.33001433774057265,Balanced
1000380,8.421748134301009,0.2689956780387963,0.9551588107244481,1.0,0.7310043219612037,0.47757940536222404,0.7625751181970283,0.23742488180297172,Flexible
1000381,0.36059327950963427,0.0740726478810474,0.0,0.12019775983654475,0.9259273521189526,0.0,0.3258573095703037,0.6741426904296963,Balanced
1000382,0.18736804282539213,0.4192249214551138,0.0,0.06245601427513071,0.5807750785448862,0.0,0.19921492927351814,0.8007850707264819,Constrained
1000383,0.21189948695446706,1.0000000001442695,0.0,0.07063316231815568,-1.4426948524715044e-10,0.0,0.02825326488398143,0.9717467351160186,Constrained
1000385,0.24747924952886136,0.3819168039396663,0.0,0.08249308317628712,0.6180831960603337,0.0,0.21842219208861494,0.7815778079113851,Constrained
1000386,3.816522868554573,0.17244763838923227,0.5303300858899106,1.0,0.8275523616107677,0.2651650429449553,0.727815221366717,0.27218477863328305,Flexible
1000387,5.183803571946902,0.2032090627983726,0.787295821622217,1.0,0.7967909372016274,0.3936479108111085,0.7571316544038209,0.2428683455961791,Flexible
1000388,1.369057897552817,2.8853908151660335e-10,0.3464101615137754,0.45635263251760566,0.9999999997114609,0.1732050807568877,0.5345025771475469,0.4654974228524531,Balanced
1000389,0.3061862178478973,0.08170416623404964,0.3535533905932738,0.10206207261596577,0.9182958337659504,0.1767766952966369,0.36934658776516244,0.6306534122348375,Balanced
1000390,8.210355041314688,0.2348827388782464,1.3518217875625174,1.0,0.7651172611217536,0.6759108937812587,0.8323084464709036,0.16769155352909637,Flexible
1000392,2.0793451865747623,0.13521302103172783,0.6428243465332251,0.6931150621915875,0.8647869789682722,0.32141217326661253,0.6331057705471004,0.3668942294528996,Balanced
1000393,3.3784546521137635,0.14541251213704354,0.0,1.0,0.8545874878629565,0.0,0.6563762463588869,0.3436237536411131,Balanced
1000395,1.470975546170951,0.06797984156878023,0.0,0.49032518205698367,0.9320201584312198,0.0,0.4757361203521594,0.5242638796478406,Balanced
1000396,13.314347065210264,0.1801025501104888,1.1617509372793489,1.0,0.8198974498895112,0.5808754686396744,0.8202318755587557,0.17976812444124435,Flexible
1000397,3.8296424792705634,0.024968122070433973,0.6222539674441618,1.0,0.975031877929566,0.3111269837220809,0.7858476584954941,0.2141523415045059,Flexible
1000398,2.285140235252174,0.2019766276175894,1.0101525445522108,0.7617134117507246,0.7980233723824106,0.5050762722761054,0.6956152580978445,0.3043847419021555,Balanced
1000399,1.8122564116552933,0.22485460757773013,0.0,0.6040854705517644,0.7751453924222699,0.0,0.47417780594738673,0.5258221940526133,Balanced
