khipu_id,pc1,pc2,cluster_kmeans,cluster_hierarchical
1000000,-1.0922112096510828,-0.02475761754885294,3,3
1000001,-2.4366378367243726,-1.8106058941801166,1,5
1000002,-0.8361512532588926,0.709522032736925,3,3
1000003,-0.6644563790621971,0.48546912217719135,3,3
1000004,1.7919129103554432,0.5612782466222347,0,1
1000005,-0.1309490706693293,0.5564337927688112,3,3
1000006,0.24871829199776377,0.8662355667785037,3,1
1000007,3.3918498387154083,0.5128750149233614,0,1
1000008,-0.1740630296155328,1.3446468236215925,3,1
1000009,0.6077767586842038,1.2077081869980066,3,1
1000010,0.4494621727363449,1.2204343211515023,3,1
1000011,-0.6076187277498678,0.5430414639834581,3,3
1000012,0.6613518715780636,1.344317087634499,3,1
1000013,-0.8286983809516194,-1.1208785192716462,3,3
1000014,-0.5289147036079044,-0.3664055500981698,3,3
1000015,-0.6410393132301149,0.45278877605721357,3,3
1000017,-0.5841232249968308,0.913898943072106,3,3
1000018,4.463578745611392,0.0188880189383142,0,1
1000019,1.6912529626984794,0.11152214268581227,0,1
1000020,8.789158629288856,-0.9766574505569641,0,0
1000021,0.7262924883172666,0.5593443555484374,3,1
1000022,1.4890276916696434,0.6129588925091963,0,1
1000023,7.372091673934614,-1.4266064437233594,0,0
1000024,7.827494031806153,-1.4324660325378111,0,0
1000025,11.268545915870018,-2.6885107025317607,4,0
1000026,-1.2253148774821125,0.5424333472230723,3,3
1000027,-1.0466057206816388,-0.20612619915774794,3,3
1000028,-1.1015052339751443,0.012337713949872002,3,3
1000029,3.074255434027715,0.21852444243351993,0,1
1000030,-0.8758456200090585,0.7377758090363893,3,3
1000031,-1.4989096881213777,-0.3027168186617539,3,3
1000032,0.721571297641314,1.0444334020112347,3,1
1000033,-0.051243011185074315,0.7719358109726618,3,3
1000034,0.2796735419344595,1.166607113782817,3,3
1000035,-0.7626275916881972,0.7884330611757804,3,3
1000036,-1.2339655801786718,0.28392004118196923,3,3
1000037,-0.6585228667980887,0.9461777208511652,3,3
1000038,-2.4722307743904497,-2.246292904818772,1,5
1000039,-0.02034440214858038,0.21667652195257983,2,6
1000040,0.5807403836580881,0.49868875914826605,3,3
1000041,-0.44003019370486796,0.6466970142042533,3,3
1000042,0.10185481468044096,1.0909425855896155,3,3
1000043,-1.1406395484727803,0.7797648563110521,3,3
1000044,-0.9369736055973682,1.0024289244529376,3,3
1000045,3.8829622577122977,-0.39507756773376435,0,1
1000046,-1.0711788363982735,0.6689058350339819,3,3
1000047,-0.1802533688649062,1.2299338593552867,3,3
1000048,-1.1938390873666551,0.32482804515298797,3,3
1000049,-1.0771486472107374,0.6880634206452838,3,3
1000050,-0.1997841146029022,0.8710249707388283,3,3
1000051,-0.897375021745238,0.380982311110277,3,3
1000052,-0.269231859949038,1.1079803127745724,3,1
1000053,4.26718531326122,-1.6143407187636782,2,6
1000054,-1.2212397555598757,0.21279401478699136,3,3
1000055,-1.6150373845561228,-0.07412784669546078,3,3
1000056,-0.3407572806419355,-0.8581861412939299,3,3
1000057,1.9437072528476536,-0.6207153233328757,2,6
1000058,-0.41491592403858424,1.216746247475253,3,3
1000059,-1.3152464101204688,0.37052987472902127,3,3
1000060,-0.7725797835378869,1.2748971276979246,3,1
1000061,-1.8127517393566768,-1.0640690771095624,1,3
1000062,-1.8461570289810167,-0.8773632578227456,1,3
1000063,4.95347088615099,-1.0549860374605842,0,1
1000064,-1.0743865602199778,0.14502117838121076,3,3
1000065,0.923699757850998,-1.1041992843574358,2,3
1000066,-2.2082215596367973,-1.588632021885362,1,3
1000067,-1.4375117660852357,0.16972008012300022,3,3
1000068,-2.0560884650704443,-1.2522069763688433,1,3
1000069,-2.2514622246530234,-1.4548058915357989,1,3
1000070,-1.5902337915336766,-0.0883741803782933,3,3
1000071,-0.24717263321633853,0.3016511930604157,3,3
1000072,-1.5812158072249292,-0.3120335435100173,3,3
1000073,-1.7553293547811948,-0.4647054644991667,3,3
1000074,-1.0426523376390608,0.39374510103884114,3,3
1000075,-1.5704969983903363,-0.32306893907788303,3,3
1000076,-0.6328799486703326,1.0744744094040681,3,3
1000077,4.236504643534398,-1.755186423645185,2,6
1000078,-1.7753772579945166,-0.47427939252146273,1,3
1000079,0.34541314426054237,0.8272293386372487,3,3
1000080,-0.7373142249875265,0.3071227380140439,3,3
1000081,-0.8503807523467405,0.9575731895202146,3,3
1000082,-1.4038848016889152,-0.02725251239660986,3,3
1000083,1.3156279559724537,1.1369037335940382,0,1
1000084,-2.3984603628679846,-2.0239839733650498,1,5
1000085,3.7851963846870604,-0.6364765639666906,0,1
1000086,-1.5345419970540068,-0.1035639447558162,3,3
1000087,-0.9185431009770427,0.8994188172602111,3,3
1000088,2.0995956011724273,-5.042131897148829,6,4
1000089,2.3474243566125925,0.2598018781944462,0,1
1000090,-1.2466510525369339,-0.09000575909817342,3,3
1000091,-0.24203698322617775,0.7586530864684339,3,3
1000092,-1.5048608595121522,-0.738789701879884,3,3
1000093,-0.9296103480807354,0.6569497756608191,3,3
1000094,2.940078445172848,0.7369834784641328,0,1
1000096,28.133406700231742,-9.378673840831162,4,0
1000097,0.34019051574221104,1.323519218373915,3,1
1000098,-0.3240000458784551,0.4384961320591898,3,3
1000099,-0.5142192759287065,0.4038165570878998,3,3
1000100,-1.0086522816367667,0.21964741474130337,3,3
1000101,-0.8330444191160976,0.8511858456842265,3,3
1000103,6.875190842107533,-1.7241752506524755,0,0
1000105,-1.5088409627723613,-1.243461355647655,3,3
1000106,-1.3209648958782598,0.18608493976868706,3,3
1000107,-1.457951734250181,-0.10908625580203064,3,3
1000108,-1.0292093829440527,0.3345433035331905,3,3
1000109,-1.4663373372911754,-0.17308141702972651,3,3
1000110,-1.1695443312762261,0.18904199476257574,3,3
1000111,-1.4493236371126765,-0.8433030910883454,3,3
1000112,-3.0381572595194033,-3.1301638576666306,1,5
1000113,-0.7744312134590152,0.514573648332729,3,3
1000114,-1.3044493130421668,-0.03159534782025013,3,3
1000115,2.101969595783461,0.5877470844651443,0,1
1000116,-1.2339655801786718,0.28392004118196923,3,3
1000117,-1.1742899209094448,0.3742953535140204,3,3
1000118,-0.8947233640434104,0.5457277699469051,3,3
1000119,-0.1071335804869081,0.4732626202753317,2,6
1000120,0.5378030225864215,0.7813219373077421,3,1
1000121,0.9435917242990831,0.8174909681212488,3,1
1000122,-1.3209648958782598,0.18608493976868706,3,3
1000123,-1.2339655801786718,0.28392004118196923,3,3
1000124,0.8890810372199918,0.20985104333327223,2,6
1000125,-0.4003580919477953,1.3738227853608527,3,1
1000126,-0.36512841941160634,1.4350109450248847,3,1
1000127,0.6188936066873619,0.9992232395547187,3,1
1000128,-0.6928909492454892,1.1537344778566834,3,3
1000129,-3.5504144187854787,-4.2921414197332615,1,5
1000130,-1.7751273501447715,-0.6064802078428451,1,3
1000131,-0.05297825675504597,0.5124423065164935,2,6
1000132,-0.7690783831489454,0.8238097918655255,3,3
1000133,-1.2365725852483485,-0.2855929194822185,3,3
1000134,-2.0857820558476354,-1.0862462481138953,1,3
1000135,-1.441458885003016,-0.21161104937009323,3,3
1000136,-2.645857729096421,-2.607726283789491,1,5
1000137,-0.7841670150041234,0.675714299469266,3,3
1000138,-0.7877509673971881,1.0819783653420592,3,3
1000139,-0.9700782416119397,0.31863102001954985,3,3
1000140,4.037021976172693,-0.101219341271417,0,1
1000141,-1.9306293665694738,-0.9850307650265419,1,3
1000142,-1.3068995107732746,0.10747196322686939,3,3
1000143,-0.8861026441403549,0.4975456230341782,3,3
1000144,1.1099230592095555,0.8941301448314741,3,1
1000145,-0.9177340493556123,0.8125233242219322,3,3
1000146,0.012577188789122278,1.92460637681412,3,1
1000147,3.9099279028894487,0.6595335188592932,0,1
1000148,3.6079533675956315,-0.006940786404065824,0,1
1000149,-1.474654379062351,-0.015733346158622305,3,3
1000150,-0.7179004865413109,0.8498571942162338,3,3
1000151,-0.7372012589528343,0.6009671572401226,3,3
1000152,-0.6685119926976703,0.9202203160435205,3,3
1000154,-2.6903981152622074,-2.3587851914070685,1,5
1000155,-6.055410872397545,-10.131486606130132,1,5
1000156,-2.0161149817908344,-1.4023739984197896,1,3
1000157,-1.9573535982689456,-0.8356661095970885,1,3
1000158,-0.5999880378300438,1.255070865195849,3,1
1000159,-0.2743159696997529,1.002848162816316,3,3
1000160,-4.029483981040265,-6.642712766145178,1,5
1000161,-1.652740671923364,-0.43919013410444435,3,3
1000162,-0.7545020895727916,0.5632925120789561,3,3
1000163,-1.2762284108479482,0.23793932427838765,3,3
1000164,0.43825264538246356,0.8853198994144305,3,1
1000165,-0.3120719834365253,1.2959915013663632,3,3
1000166,-0.753759626065155,0.6555127507613703,3,3
1000167,-0.9821522827541326,0.6444299217396148,3,3
1000168,-3.5504144187854787,-4.2921414197332615,1,5
