khipu_id,wm_load,normalized_traversal,visual_load,wm_normalized,traversal_normalized,visual_normalized,cognitive_complexity,is_specialist
1000000,5.874850142962362,1.3888888888888888,3.0053148568942794,0.017608045074003913,0.18148148148148147,0.7076808221608315,0.27379190912229545,False
1000001,2.82229130258318,1.0,0.0,0.00624928066939668,0.0,0.0,0.0024997122677586723,False
1000002,8.189911172856975,1.2666666666666666,3.5604227026072035,0.026222533506794887,0.12444444444444443,0.838395637528967,0.2993410379947414,False
1000003,9.437865855094266,1.236842105263158,2.6461277632419327,0.030866251765604615,0.11052631578947372,0.62310072661366,0.23243461342718197,False
1000004,30.25089053402724,1.1079545454545454,2.704855344232593,0.10831283223705897,0.05037878787878786,0.636929687896584,0.24951767562743515,False
1000005,11.988421035665398,1.2419354838709677,0.38639695711595623,0.04035702881921228,0.11290322580645162,0.09098737713453586,0.07730999240998115,False
1000006,15.980437207525284,1.525,2.326302159137403,0.055211573339607474,0.24499999999999997,0.5477893342177649,0.2599214296011724,False
1000007,53.26354058729928,1.620991253644315,3.3813484911933056,0.1939443577700178,0.28979591836734697,0.7962278810057283,0.4033848829199297,True
1000008,14.443870421542671,1.8983050847457628,1.2141021174126991,0.04949391119889899,0.41920903954802263,0.2858924357515496,0.2313280070694313,False
1000009,21.825881138475914,1.9841269841269842,2.8882270675733923,0.07696283971118761,0.4592592592592593,0.6801094071985974,0.37259573582183203,True
1000010,21.132078592278482,1.625,3.217510516490173,0.07438115657986612,0.2916666666666667,0.7576478991535449,0.3445468323780099,False
1000011,8.861730443004584,1.5681818181818181,2.0276551414075694,0.028722415478319455,0.26515151515151514,0.47746499979467,0.23427392067518332,False
1000012,21.140853748586604,1.5,3.395852077292739,0.07441380949118728,0.23333333333333334,0.7996431337242851,0.3396584639137604,False
1000013,9.239910596101161,1.0,1.5043814577244938,0.030129647733665176,0.0,0.35424637934481523,0.11832577289691064,False
1000014,10.53364179915787,1.0,2.2358425471993075,0.03494370332008749,0.0,0.5264882274795324,0.17192394957189472,False
1000015,11.660069603876192,1.125,2.061927321278829,0.03913521238564411,0.058333333333333334,0.48553529045752625,0.17881467209151553,False
1000017,9.314785593266983,1.2820512820512822,2.7163388252890646,0.030408262331147122,0.13162393162393168,0.6396337770527233,0.24354061753545533,False
1000018,66.97057234047142,1.5316742081447965,1.6446646492609642,0.24494908937788182,0.2481146304675717,0.3872797648798228,0.28859795435537106,False
1000019,30.4809312359375,1.1280487804878048,2.085581782461241,0.10916882823029085,0.05975609756097556,0.49110535859828663,0.208925968139895,False
1000020,118.68969187544052,1.811443433029909,3.147471392398473,0.4373992024569338,0.37867360208062417,0.7411553360509022,0.5109083624222315,True
1000021,21.289226238262014,1.2295081967213115,2.788306774642411,0.07496591290424996,0.10710382513661204,0.6565805330476133,0.2590916726169676,False
1000022,28.61459023347981,1.2345679012345678,2.586390161146161,0.10222405538426045,0.10946502057613165,0.6090339291637782,0.25643930707567714,False
1000023,88.61464993010838,1.4073426573426573,3.132383574538516,0.3254880702629109,0.19009324009324008,0.7376025105214062,0.40850395328955824,True
1000024,89.6769718843443,1.181500872600349,2.032245595786072,0.3294410374065381,0.08470040721349624,0.4785459436169847,0.3007503202117595,False
1000025,132.90220622612196,1.4233409610983982,2.2612504219940766,0.4902848667628958,0.1975591151792525,0.5324711832030811,0.41512303621985835,True
1000026,5.741353572870883,1.5555555555555556,1.5705188080079617,0.017111295898055552,0.2592592592592593,0.36982016666921935,0.1955683461377658,False
1000027,5.933254844513377,1.5,2.2394910703001343,0.017825372660376322,0.23333333333333334,0.5273473686845688,0.23533435966952115,False
