khipu_id,num_values,mean,std,cv,range,iqr,variance_class
1000000,10,34.8,36.020981540084534,1.035085676439211,83.0,66.25,medium
1000001,6,96.33333333333333,70.17311925991795,0.7284406843590099,190.0,79.5,medium
1000002,28,948.75,1407.7322352977133,1.483775742079276,5014.0,894.0,medium
1000003,32,726.15625,1806.409772205899,2.487632341119282,9073.0,133.25,high
1000004,158,34.82911392405063,31.67071685668384,0.9093173293396415,158.0,35.0,medium
1000005,40,68.825,42.021293442302586,0.6105527561540514,151.0,71.5,medium
1000006,38,3.3684210526315788,3.3805569078352122,1.0036028320135786,15.0,3.0,medium
1000007,286,930.6363636363636,2517.76204175128,2.705419796743585,15775.0,128.75,high
1000008,52,18.01923076923077,22.404910512719216,1.2433888438221976,96.0,22.0,medium
1000009,98,45.87755102040816,119.90101289359379,2.6135007258834944,1131.0,43.0,high
1000010,76,408.2894736842105,528.8680192206615,1.2953261186197318,2584.0,465.5,medium
1000011,32,38.125,46.00543446159377,1.206699920304099,174.0,60.0,medium
1000012,109,375.9357798165138,1210.4149906297773,3.2197387309623866,8858.0,156.0,high
1000013,8,7.0,7.521398046336104,1.0744854351908721,15.0,15.0,medium
1000014,12,18.5,23.50048355401921,1.2702964083253625,80.0,20.0,medium
1000015,22,52.72727272727273,47.17564123084207,0.8947104371366599,143.0,77.5,medium
1000017,33,27.393939393939394,21.744165013198646,0.793758236101278,80.0,30.0,medium
1000018,328,19.850609756097562,25.955600756604245,1.3075467744073401,171.0,24.0,medium
1000019,100,11.52,16.40120714946299,1.4237158983908846,63.0,13.5,medium
1000020,473,4.879492600422833,8.919856334613009,1.828029482786808,53.0,3.0,high
1000021,103,28.475728155339805,36.75777753106701,1.2908459207977847,210.0,41.5,medium
1000022,137,10.262773722627736,18.400075956122276,1.792895025596552,80.0,8.0,high
1000023,318,303.3364779874214,1006.6810116894396,3.3186942050905732,8363.0,100.0,high
1000024,424,43.028301886792455,128.63652735947466,2.989579456282463,2229.0,50.0,high
1000025,551,13.421052631578947,28.898578630963016,2.1532274274050875,521.0,15.0,high
1000026,17,41.294117647058826,18.54307386156066,0.4490487972172809,55.0,33.0,low
1000027,9,4.444444444444445,5.547772325697746,1.248248773281993,15.0,8.0,medium
1000028,14,4.357142857142857,5.429366627703638,1.2460841440631303,15.0,3.0,medium
1000029,162,32.82716049382716,37.70489864658486,1.14858848829386,151.0,80.0,medium
1000030,23,36.04347826086956,33.64450280759044,0.9334421768089025,90.0,61.0,medium
1000031,12,43.166666666666664,36.17340392491632,0.8379939133185249,78.0,72.25,medium
1000032,131,440.60305343511453,843.6005040611008,1.9146496999602245,6640.0,490.0,high
1000033,46,20.869565217391305,20.743522357756973,0.9939604463091882,80.0,24.75,medium
1000034,98,26.040816326530614,27.5972202273199,1.059767861393946,110.0,32.0,medium
1000035,29,34.275862068965516,24.885303396244797,0.7260299783612667,77.0,38.0,medium
1000036,20,18.3,11.43448155453725,0.6248350576249863,42.0,15.0,medium
1000037,35,13.82857142857143,22.463677497744868,1.6244394884732858,105.0,15.0,high
1000038,4,6.75,7.22841614740048,1.0708764662815526,15.0,9.75,medium
1000039,47,11.595744680851064,11.866393127081137,1.0233403247207586,24.0,24.0,medium
1000040,57,33.26315789473684,40.070708181105786,1.2046573662041296,200.0,40.0,medium
1000041,48,334.1458333333333,214.06769555479838,0.6406415229521992,755.0,373.0,medium
1000042,69,38.82608695652174,60.75189576362766,1.5647184799142622,384.0,40.0,high
1000043,21,100.0,64.57553716385176,0.6457553716385176,150.0,130.0,medium
1000044,28,47.857142857142854,23.93774995725106,0.5001917901515147,100.0,32.5,medium
1000045,207,50.57487922705314,65.70781859212667,1.2992184973321446,573.0,59.0,medium
1000046,20,36.35,17.90405717031463,0.4925462770375414,50.0,30.0,low
1000047,68,296.5735294117647,567.1941233979845,1.912490722024245,3551.0,256.5,high
1000048,21,9828.142857142857,12796.242992713584,1.30200010100724,35701.0,16371.0,medium
1000049,20,33.2,27.492774170296954,0.8280956075390649,84.0,40.75,medium
1000050,43,250.62790697674419,514.7239677848522,2.0537376463532193,3259.0,281.5,high
1000051,26,109.84615384615384,154.8577908424868,1.4097698045884652,790.0,60.75,medium
1000052,31,9.741935483870968,12.069155568184224,1.2388868298467248,58.0,8.0,medium
1000053,227,125.69162995594714,58.62262747230174,0.46640040783024306,380.0,45.0,low
1000054,19,48.0,46.05190308529907,0.9594146476103972,205.0,45.5,medium
1000055,11,100.45454545454545,198.97807097083015,1.980777177085187,685.0,20.0,high
1000057,111,82.98198198198199,61.19565967704542,0.7374571951093303,414.0,62.5,medium
1000058,52,32.55769230769231,29.190660245197055,0.8965825946546053,150.0,36.25,medium
1000059,15,46.0,30.26785187526292,0.65799677989702,95.0,53.5,medium
1000060,26,21.5,25.529982373671942,1.1874410406359042,106.0,23.75,medium
1000061,5,56.0,43.08131845707603,0.769309258162072,104.0,48.0,medium
1000062,6,49.333333333333336,41.85052767488919,0.8483215069234296,104.0,48.0,medium
1000063,175,63.48571428571429,85.86737013857825,1.352546334316039,708.0,69.5,medium
1000064,19,22.157894736842106,13.833386176183156,0.6243095898990023,48.0,20.0,medium
1000066,6,49.0,29.779187362988935,0.6077385176120191,77.0,38.25,medium
1000067,13,56.38461538461539,39.252470116623364,0.696155677375312,111.0,57.0,medium
1000068,7,8.571428571428571,8.96022958889527,1.0453601187044483,24.0,10.0,medium
1000069,6,54.833333333333336,33.22900339562814,0.606000061926349,84.0,46.25,medium
1000070,11,1209.8181818181818,1562.5961614045912,1.2915958653028632,5746.0,681.0,medium
