khipu_id,num_cords,unique_colors,dominant_color_pct,color_entropy,standardization_score,variance_class
1000475,20,3,0.6,1.352724195191846,0.14652605687746045,medium
1000476,17,5,0.5294117647058824,1.8498687218638303,0.20330490598005868,medium
1000477,152,6,0.3815789473684211,2.050621377859613,0.20671136339984508,high
1000478,40,2,0.975,0.16866093120813122,0.8313390687918688,low
1000479,29,3,0.5172413793103449,1.4819007242487554,0.06502474123236834,medium
1000480,10,5,0.3,2.170950593733321,0.06502247054354415,medium
1000481,10,3,0.4,1.57095059402186,0.008840528840853179,medium
1000482,31,7,0.5483870967741935,1.9253821075117477,0.31416505537512485,high
1000483,15,5,0.26666666666666666,2.2565647614096065,0.02815045548640316,medium
1000485,15,1,1.0,-1.4426951601859516e-10,1.0000000001442695,low
1000486,13,2,0.6153846153846154,0.9612366044343368,0.03876339556566322,low
1000487,34,8,0.38235294117647056,2.4739156683903696,0.17536144386987684,high
1000488,45,7,0.4222222222222222,2.292480924558274,0.18340181836429936,high
1000489,19,2,0.9473684210526315,0.2974722486307506,0.7025277513692494,low
1000490,15,6,0.6,1.8716022605441802,0.27596541148196996,high
1000491,9,2,0.8888888888888888,0.5032583344871068,0.4967416655128932,low
1000492,73,6,0.684931506849315,1.3549245992349521,0.47584361519482254,high
1000493,155,9,0.7032258064516129,1.4941361034671425,0.528652538218629,high
1000494,113,8,0.37168141592920356,2.4022982487325653,0.19923391708914495,high
1000495,156,8,0.34615384615384615,2.50041173839026,0.16652942053657993,high
1000496,31,7,0.5483870967741935,2.083336847906579,0.2579004416087042,high
1000497,64,7,0.28125,2.4421298761638277,0.13009578625922047,high
1000499,79,5,0.35443037974683544,2.081185661502569,0.10368212259237597,medium
1000500,89,6,0.43820224719101125,1.9312458035150266,0.252892139450284,high
1000501,429,7,0.5384615384615384,1.9633753545418666,0.30063158772142595,high
1000502,29,6,0.4482758620689655,2.0605580168658144,0.20286734670581974,high
1000503,86,7,0.6744186046511628,1.5735841823817924,0.43947800471610476,high
1000504,224,9,0.3705357142857143,2.491741988471974,0.2139429206248621,high
1000505,121,5,0.38016528925619836,1.9146502705750703,0.175405011554438,medium
1000506,167,11,0.281437125748503,2.5951499673041396,0.24983342543235654,high
1000507,143,8,0.4125874125874126,2.3490683587680783,0.21697721374397394,high
1000508,262,8,0.2633587786259542,2.5191394213663783,0.16028685954454058,high
1000509,385,5,0.4909090909090909,1.5888022219627755,0.3157401275857127,medium
1000510,128,5,0.4140625,1.9473515707926303,0.16132132813221456,medium
1000511,85,5,0.3058823529411765,1.9888069130371666,0.14346748402058307,medium
1000512,138,6,0.34057971014492755,2.1879081149672275,0.15360160375369392,high
1000513,115,7,0.24347826086956523,2.490478540638457,0.11287364448628312,high
1000514,167,10,0.4550898203592814,2.3793538425682783,0.2837431230885942,high
1000515,79,10,0.21518987341772153,3.0009326514886063,0.09662925693448521,high
1000516,51,10,0.45098039215686275,2.5836828220057555,0.22223397129450473,high
1000517,13,5,0.3076923076923077,2.1996877940099804,0.05264603203972673,medium
1000518,210,16,0.23809523809523808,3.105122650035576,0.22371933749110595,high
1000519,191,13,0.20418848167539266,3.260863624679722,0.11879023222737173,high
1000520,95,12,0.18947368421052632,3.2335143983020527,0.09803396893228467,high
1000521,78,6,0.32051282051282054,2.1792214437786295,0.15696206688852643,high
1000522,95,9,0.23157894736842105,2.943418622723417,0.07145480685373784,high
1000523,208,5,0.9230769230769231,0.48249572632784143,0.7922004013000035,medium
1000524,171,15,0.3333333333333333,2.7270739868730036,0.3019835288097573,high
1000525,17,4,0.47058823529411764,1.8077635758401165,0.09611821207994176,medium
1000526,305,18,0.38688524590163936,2.971009913893301,0.28751478435087563,high
1000527,171,10,0.38596491228070173,2.4845763227601814,0.2520680003326722,high
1000528,121,8,0.3305785123966942,2.2473427949632834,0.2508857350122389,high
1000529,63,4,0.47619047619047616,1.7944972394022536,0.10275138029887321,medium
1000530,118,17,0.211864406779661,3.362917921546237,0.17726030739461518,high
1000531,10,5,0.4,2.046439343949668,0.11864654704178423,medium
1000532,11,5,0.5454545454545454,1.8676338902498646,0.1956538644059671,medium
1000533,59,5,0.4915254237288136,1.857820647340652,0.19988019808564494,medium
1000534,81,2,0.7777777777777778,0.7642045062200812,0.23579549377991882,low
1000535,24,8,0.20833333333333334,2.8045851681836433,0.06513827727211885,high
1000536,51,6,0.43137254901960786,1.895232779870558,0.2668238787441506,high
1000537,23,3,0.5217391304347826,1.2088301748621393,0.23731307566448856,medium
1000538,74,6,0.40540540540540543,1.7864381943224725,0.30891136957534593,high
1000539,195,15,0.2717948717948718,3.2221910086287204,0.1752543538714456,high
1000540,59,6,0.3728813559322034,2.2835555656424193,0.11660011895516853,high
1000541,997,16,0.2728184553660983,3.2952579704689553,0.17618550738276118,high
1000542,135,8,0.2740740740740741,2.590908887883428,0.13636370403885734,high
1000543,151,14,0.18543046357615894,3.2939063212393953,0.13485703627040013,high
1000544,99,4,0.7070707070707071,1.2018036683814923,0.39909816580925384,medium
1000545,194,14,0.30412371134020616,2.9074413593934167,0.23636187880741322,high
1000546,154,12,0.2857142857142857,2.901083425468754,0.1907632437200758,high
1000547,233,10,0.43776824034334766,2.49601197149974,0.2486255270421881,high
1000548,30,2,0.7666666666666667,0.783776947196162,0.21622305280383802,low
1000549,72,6,0.3611111111111111,2.01411361724747,0.22083449307849912,high
1000550,8,3,0.625,1.29879494026259,0.18055162840026828,medium
1000551,27,6,0.5555555555555556,1.7824858943152215,0.3104403279281841,high
1000552,88,13,0.36363636363636365,2.8426855111969984,0.23179791383684123,high
1000553,70,9,0.21428571428571427,2.8535749343526327,0.09979733493560272,high
1000554,78,6,0.8076923076923077,1.084273363390753,0.5805458055626489,high
1000555,73,4,0.3972602739726027,1.870372356159832,0.064813821920084,medium
1000556,35,5,0.2857142857142857,2.156477234161217,0.07125580722781666,medium
1000558,16,1,1.0,-1.4426951601859516e-10,1.0000000001442695,low
1000559,28,7,0.2857142857142857,2.5836169743873456,0.07969706498894469,high
1000560,21,8,0.23809523809523808,2.7918583514133273,0.06938054952889094,high
1000561,20,4,0.4,1.6841837192021107,0.15790814039894463,medium
1000562,29,4,0.4827586206896552,1.4675493077415172,0.2662253461292414,medium
1000563,90,6,0.26666666666666666,2.465960879236415,0.046036111336834384,high
