khipu_id,depth,entropy,marginal_expressiveness,cumulative_entropy
1000368,1,1.7665744691956968,1.7665744691956968,1.7665744691956968
1000368,2,2.0638650217658268,0.29729055257012993,3.8304394909615236
1000368,3,1.6767370294750545,-0.3871279922907722,5.507176520436579
1000368,4,0.7219280945988233,-0.9548089348762312,6.229104615035402
1000369,0,0.0,0.0,0.0
1000369,1,1.2797384530319176,1.2797384530319176,1.2797384530319176
1000369,2,-1.4426951601859516e-10,-1.279738453176187,1.279738452887648
1000371,0,0.0,0.0,0.0
1000371,1,1.8859156733127471,1.8859156733127471,1.8859156733127471
1000371,2,0.27619542735940006,-1.609720245953347,2.1621111006721474
1000374,0,0.0,0.0,0.0
1000374,1,0.0872805885950943,0.0872805885950943,0.0872805885950943
1000375,0,0.0,0.0,0.0
1000375,1,1.5489255610421342,1.5489255610421342,1.5489255610421342
1000375,2,0.9709505941661296,-0.5779749668760046,2.519876155208264
1000376,0,0.0,0.0,0.0
1000376,1,0.15862461618235235,0.15862461618235235,0.15862461618235235
1000377,0,0.0,0.0,0.0
1000377,1,0.5349436988085676,0.5349436988085676,0.5349436988085676
1000377,2,-1.4426951601859516e-10,-0.5349436989528371,0.5349436986642981
1000378,0,0.0,0.0,0.0
1000378,1,2.263809173017929,2.263809173017929,2.263809173017929
1000380,0,0.0,0.0,0.0
1000380,1,2.3765289453184444,2.3765289453184444,2.3765289453184444
1000380,2,2.232118845307304,-0.1444101000111404,4.608647790625748
1000380,3,1.321606957811269,-0.910511887496035,5.930254748437017
1000380,4,-1.4426951601859516e-10,-1.3216069579555385,5.9302547482927475
1000381,0,0.0,0.0,0.0
1000381,1,2.562494830442038,2.562494830442038,2.562494830442038
1000382,0,0.0,0.0,0.0
1000382,1,1.2584729617403907,1.2584729617403907,1.2584729617403907
1000383,0,0.0,0.0,0.0
1000383,1,-1.4426951601859516e-10,-1.4426951601859516e-10,-1.4426951601859516e-10
1000385,0,0.0,0.0,0.0
1000385,1,0.9796386880815111,0.9796386880815111,0.9796386880815111
1000386,0,0.0,0.0,0.0
1000386,1,2.1150827577034126,2.1150827577034126,2.1150827577034126
1000386,2,1.9655962296362541,-0.14948652806715845,4.080678987339667
1000387,0,0.0,0.0,0.0
1000387,1,0.9999999997114609,0.9999999997114609,0.9999999997114609
1000387,2,1.459147916594436,0.4591479168829752,2.459147916305897
1000387,3,0.9182958337659504,-0.5408520828284857,3.3774437500718477
1000388,0,0.0,0.0,0.0
1000388,1,-1.4426951601859516e-10,-1.4426951601859516e-10,-1.4426951601859516e-10
1000388,2,-1.4426951601859516e-10,0.0,-2.8853903203719033e-10
1000388,3,-1.4426951601859516e-10,0.0,-4.328085480557855e-10
1000389,0,0.0,0.0,0.0
1000389,1,0.9709505941661296,0.9709505941661296,0.9709505941661296
1000389,2,0.9182958337659504,-0.052654760400179246,1.88924642793208
1000390,0,0.0,0.0,0.0
1000390,1,2.612547576592527,2.612547576592527,2.612547576592527
1000390,2,0.9182958337659504,-1.6942517428265764,3.530843410358477
1000392,0,0.0,0.0,0.0
1000392,1,1.29879494026259,1.29879494026259,1.29879494026259
1000392,2,0.9182958337659504,-0.38049910649663965,2.2170907740285406
1000393,0,0.0,0.0,0.0
1000393,1,2.441923519591213,2.441923519591213,2.441923519591213
1000395,0,0.0,0.0,0.0
1000395,1,1.4565647616981454,1.4565647616981454,1.4565647616981454
1000396,0,0.0,0.0,0.0
1000396,1,2.3793814683718244,2.3793814683718244,2.3793814683718244
1000396,2,2.98097828898106,0.6015968206092355,5.360359757352884
1000396,3,-1.4426951601859516e-10,-2.9809782891253294,5.360359757208615
1000397,0,0.0,0.0,0.0
1000397,1,1.722266311366905,1.722266311366905,1.722266311366905
1000397,2,1.4488156352923758,-0.2734506760745292,3.171081946659281
1000398,0,0.0,0.0,0.0
1000398,1,1.8627240187302436,1.8627240187302436,1.8627240187302436
1000398,2,0.7219280945988233,-1.1407959241314203,2.584652113329067
1000399,0,0.0,0.0,0.0
1000399,1,0.9999999997114609,0.9999999997114609,0.9999999997114609
1000400,0,0.0,0.0,0.0
1000400,1,1.7429241189931723,1.7429241189931723,1.7429241189931723
1000400,2,1.1033074081750254,-0.639616710818147,2.8462315271681975
1000400,3,-1.4426951601859516e-10,-1.1033074083192949,2.846231527023928
1000401,0,0.0,0.0,0.0
1000401,1,2.3919796425278608,2.3919796425278608,2.3919796425278608
1000401,2,2.129838692341618,-0.2621409501862426,4.521818334869479
1000401,3,1.3912435630521776,-0.7385951292894406,5.913061897921657
1000402,0,0.0,0.0,0.0
1000402,1,1.4969152525641958,1.4969152525641958,1.4969152525641958
1000402,2,1.3516441147205838,-0.145271137843612,2.8485593672847793
1000403,0,0.0,0.0,0.0
1000403,1,1.75225477916867,1.75225477916867,1.75225477916867
1000403,2,1.5485806060900458,-0.20367417307862423,3.300835385258716
1000403,3,0.9999999997114609,-0.5485806063785849,4.300835384970177
1000404,0,0.0,0.0,0.0
1000404,1,1.6140054622771425,1.6140054622771425,1.6140054622771425
1000404,2,1.5612781240263243,-0.05272733825081821,3.1752835863034665
1000405,0,0.0,0.0,0.0
1000405,1,1.608700164942813,1.608700164942813,1.608700164942813
1000405,2,1.9056390616524883,0.2969388967096753,3.5143392265953013
1000406,0,0.0,0.0,0.0
1000406,1,2.4308320503584673,2.4308320503584673,2.4308320503584673
1000406,2,2.6084824080492717,0.1776503576908044,5.039314458407739
1000406,3,1.4560117966491821,-1.1524706114000896,6.495326255056922
1000407,0,0.0,0.0,0.0
1000407,1,2.589870721491369,2.589870721491369,2.589870721491369
