khipu_id,parallel_sections,max_parallel_width,serial_chain_length,parallelization_ratio,parallel_fraction,n_cords
1000432,2,12,4,3.0,0.9333333333333333,15
1000433,2,59,3,19.666666666666668,1.0,64
1000434,1,9,2,4.5,1.0,9
1000435,2,8,3,2.6666666666666665,1.0,12
1000436,2,100,3,33.333333333333336,1.0,136
1000437,2,28,3,9.333333333333334,1.0,35
1000438,1,22,2,11.0,1.0,22
1000439,2,26,3,8.666666666666666,1.0,29
1000440,1,8,3,2.6666666666666665,0.8888888888888888,9
1000441,1,18,2,9.0,1.0,18
1000442,2,20,3,6.666666666666667,1.0,31
1000443,2,4,3,1.3333333333333333,1.0,7
1000444,1,55,2,27.5,1.0,55
1000445,1,17,2,8.5,1.0,17
1000446,2,53,3,17.666666666666668,1.0,76
1000447,1,10,2,5.0,1.0,10
1000448,2,63,4,15.75,0.9850746268656716,67
1000449,2,107,3,35.666666666666664,1.0,110
1000450,2,43,3,14.333333333333334,1.0,48
1000451,1,15,2,7.5,1.0,15
1000452,1,12,2,6.0,1.0,12
1000453,1,33,2,16.5,1.0,33
1000454,1,39,2,19.5,1.0,39
1000455,2,85,3,28.333333333333332,1.0,91
1000456,2,60,3,20.0,1.0,62
1000457,1,57,2,28.5,1.0,57
1000458,1,18,2,9.0,1.0,18
1000459,1,89,2,44.5,1.0,89
1000460,1,21,2,10.5,1.0,21
1000461,1,160,2,80.0,1.0,160
1000462,1,45,2,22.5,1.0,45
1000463,1,120,2,60.0,1.0,120
1000472,4,96,5,19.2,1.0,225
1000474,2,37,3,12.333333333333334,1.0,40
1000475,2,17,3,5.666666666666667,1.0,19
1000477,3,105,4,26.25,1.0,151
1000478,1,40,2,20.0,1.0,40
1000479,1,28,2,14.0,1.0,28
1000480,1,8,3,2.6666666666666665,0.8888888888888888,9
1000481,1,7,2,3.5,1.0,7
1000482,1,30,2,15.0,1.0,30
1000483,2,6,3,2.0,1.0,12
1000485,1,14,2,7.0,1.0,14
1000486,1,12,2,6.0,1.0,12
1000487,1,33,2,16.5,1.0,33
1000488,2,21,4,5.25,0.9743589743589743,39
1000489,1,18,2,9.0,1.0,18
1000490,2,12,3,4.0,1.0,16
1000491,1,8,2,4.0,1.0,8
1000492,1,68,2,34.0,1.0,68
1000493,4,96,5,19.2,1.0,154
1000494,3,52,4,13.0,1.0,90
1000495,3,70,4,17.5,1.0,133
1000496,1,30,2,15.0,1.0,30
1000497,2,58,3,19.333333333333332,1.0,63
1000499,2,64,3,21.333333333333332,1.0,78
1000500,2,49,3,16.333333333333332,1.0,88
1000501,2,395,3,131.66666666666666,1.0,417
1000502,2,23,3,7.666666666666667,1.0,28
1000503,2,59,3,19.666666666666668,1.0,70
1000504,4,100,5,20.0,1.0,226
1000505,3,83,4,20.75,1.0,120
1000506,2,134,3,44.666666666666664,1.0,167
1000507,2,78,3,26.0,1.0,132
1000508,2,216,3,72.0,1.0,236
1000509,3,257,4,64.25,1.0,369
1000510,1,126,2,63.0,1.0,126
1000511,1,86,2,43.0,1.0,86
1000512,3,110,4,27.5,1.0,137
1000513,3,77,4,19.25,1.0,113
1000514,3,113,4,28.25,1.0,167
1000515,3,47,4,11.75,1.0,79
1000516,2,28,4,7.0,0.98,50
1000517,2,8,3,2.6666666666666665,1.0,12
1000518,2,117,4,29.25,0.9939024390243902,164
1000519,2,148,3,49.333333333333336,1.0,190
1000520,2,71,3,23.666666666666668,1.0,94
1000521,2,70,3,23.333333333333332,1.0,78
1000522,1,95,2,47.5,1.0,95
1000523,1,195,3,65.0,0.9948979591836735,196
1000524,3,102,4,25.5,1.0,164
1000525,1,17,2,8.5,1.0,17
1000526,4,137,5,27.4,1.0,268
1000527,3,104,5,20.8,0.9940828402366864,169
1000528,3,87,4,21.75,1.0,119
1000529,1,62,2,31.0,1.0,62
1000530,1,65,2,32.5,1.0,65
1000531,1,9,2,4.5,1.0,9
1000532,1,10,2,5.0,1.0,10
1000533,2,44,3,14.666666666666666,1.0,58
1000534,1,80,2,40.0,1.0,80
1000535,1,23,2,11.5,1.0,23
1000536,2,36,3,12.0,1.0,47
1000537,1,24,2,12.0,1.0,24
1000538,1,75,2,37.5,1.0,75
1000539,2,189,3,63.0,1.0,194
1000540,3,36,4,9.0,1.0,59
1000541,2,864,3,288.0,1.0,954
1000542,2,125,3,41.666666666666664,1.0,134
1000543,2,126,3,42.0,1.0,144
1000544,1,98,2,49.0,1.0,98
1000545,3,130,4,32.5,1.0,194
1000546,5,67,6,11.166666666666666,1.0,149
1000547,2,206,3,68.66666666666667,1.0,233
1000548,1,28,3,9.333333333333334,0.9655172413793104,29
1000549,3,44,4,11.0,1.0,71
1000550,1,7,2,3.5,1.0,7
1000551,1,30,2,15.0,1.0,30
1000552,3,38,4,9.5,1.0,86
1000553,2,50,3,16.666666666666668,1.0,52
1000554,2,67,4,16.75,0.9868421052631579,76
1000555,1,72,2,36.0,1.0,72
1000556,1,34,2,17.0,1.0,34
1000558,1,15,2,7.5,1.0,15
1000559,2,21,3,7.0,1.0,24
1000560,1,14,3,4.666666666666667,0.9333333333333333,15
1000561,1,19,2,9.5,1.0,19
1000562,2,24,3,8.0,1.0,28
1000563,1,82,2,41.0,1.0,82
1000564,2,102,3,34.0,1.0,183
1000565,2,259,3,86.33333333333333,1.0,367
1000566,2,26,3,8.666666666666666,1.0,32
1000567,2,227,3,75.66666666666667,1.0,257
1000569,2,22,3,7.333333333333333,1.0,24
1000570,3,79,4,19.75,1.0,125
1000571,2,53,3,17.666666666666668,1.0,55
1000572,1,11,2,5.5,1.0,11
1000573,3,21,4,5.25,1.0,39
1000574,3,51,6,8.5,0.975609756097561,82
1000575,3,54,4,13.5,1.0,66
1000576,3,61,5,12.2,0.9883720930232558,86
1000577,2,32,3,10.666666666666666,1.0,34
1000578,1,9,2,4.5,1.0,9
1000579,1,7,2,3.5,1.0,7
1000580,2,20,3,6.666666666666667,1.0,29
1000581,1,32,2,16.0,1.0,32
1000582,1,34,2,17.0,1.0,34
1000583,2,40,3,13.333333333333334,1.0,47
1000584,2,50,3,16.666666666666668,1.0,54
1000585,3,19,4,4.75,1.0,33
1000586,2,162,4,40.5,0.9944444444444445,180
1000587,2,32,3,10.666666666666666,1.0,41
1000588,1,189,2,94.5,1.0,189
1000589,2,30,3,10.0,1.0,49
1000590,2,62,4,15.5,0.9866666666666667,75
1000591,3,59,4,14.75,1.0,92
1000592,3,32,4,8.0,1.0,51
1000593,1,100,2,50.0,1.0,100
1000595,2,10,4,2.5,0.9285714285714286,14
1000597,2,86,4,21.5,0.9888888888888889,90
1000598,3,118,5,23.6,0.9943181818181818,176
1000599,2,41,4,10.25,0.9791666666666666,48
1000600,2,13,3,4.333333333333333,1.0,15
1000601,3,24,4,6.0,1.0,47
1000602,2,12,3,4.0,1.0,15
1000603,4,247,6,41.166666666666664,0.9979591836734694,490
1000604,1,236,3,78.66666666666667,0.9957805907172996,237
1000605,2,211,3,70.33333333333333,1.0,213
1000606,2,14,4,3.5,0.96,25
1000607,3,132,4,33.0,1.0,174
1000608,2,82,3,27.333333333333332,1.0,88
1000609,3,103,5,20.6,0.9923664122137404,131
1000610,2,131,5,26.2,0.9881656804733728,169
1000611,3,289,4,72.25,1.0,330
1000612,3,200,4,50.0,1.0,381
1000613,4,42,5,8.4,1.0,92
1000614,3,176,4,44.0,1.0,362
1000615,2,83,3,27.666666666666668,1.0,87
1000616,2,114,3,38.0,1.0,124
1000617,1,93,3,31.0,0.9893617021276596,94
1000618,3,101,4,25.25,1.0,133
1000619,2,112,3,37.333333333333336,1.0,125
1000620,2,10,3,3.3333333333333335,1.0,15
1000621,2,12,4,3.0,0.9523809523809523,21
1000622,3,150,5,30.0,0.9959514170040485,247
1000623,3,298,4,74.5,1.0,322
1000624,4,108,6,18.0,0.996,250
1000625,1,36,2,18.0,1.0,36
1000626,1,4,2,2.0,1.0,4
1000627,1,8,2,4.0,1.0,8
1000628,3,18,4,4.5,1.0,32
1000629,2,149,4,37.25,0.9948186528497409,193
1000630,1,12,3,4.0,0.9230769230769231,13
1000631,2,3,3,1.0,1.0,6
1000632,1,6,2,3.0,1.0,6
1000633,3,76,4,19.0,1.0,95
1000634,4,183,5,36.6,1.0,374
1000635,3,87,5,17.4,0.9920634920634921,126
1000636,1,30,2,15.0,1.0,30
1000637,3,59,4,14.75,1.0,78
1000638,2,50,3,16.666666666666668,1.0,60
1000639,1,10,2,5.0,1.0,10
1000640,1,9,2,4.5,1.0,9
1000641,1,5,2,2.5,1.0,5
1000642,2,10,3,3.3333333333333335,1.0,13
1000643,2,3,3,1.0,1.0,6
1000644,1,3,3,1.0,0.75,4
1000645,2,7,3,2.3333333333333335,1.0,11
1000646,3,12,4,3.0,1.0,24
1000647,3,33,5,6.6,0.9864864864864865,74
1000648,1,215,3,71.66666666666667,0.9953703703703703,216
1000649,1,32,2,16.0,1.0,32
1000650,2,183,3,61.0,1.0,198
1000651,1,22,2,11.0,1.0,22
1000652,1,14,2,7.0,1.0,14
1000653,1,6,2,3.0,1.0,6
1000654,2,55,3,18.333333333333332,1.0,57
1000655,1,29,2,14.5,1.0,29
1000656,1,35,2,17.5,1.0,35
1000657,1,8,2,4.0,1.0,8
1000658,3,166,4,41.5,1.0,272
1000659,2,53,3,17.666666666666668,1.0,56
1000660,1,4,2,2.0,1.0,4
1000661,1,5,2,2.5,1.0,5
