khipu_id,structural_cluster,predicted_function,confidence,administrative_type,cord_count,hierarchy_depth,summation_match_rate,numeric_coverage,unique_color_count,color_entropy
1000607,0,Accounting,1.0,Compact Operational Record,175,3,0.1052631578947368,0.6857142857142857,13.0,1.9482992695938934
1000608,6,Accounting,1.0,Exceptional/Anomalous,89,2,0.0,0.8539325842696629,2.0,0.6710806543560228
1000609,0,Accounting,1.0,Compact Operational Record,132,4,0.3333333333333333,0.803030303030303,4.0,1.0229880634489494
1000610,0,Accounting,1.0,Compact Operational Record,170,4,0.0526315789473684,0.7941176470588235,8.0,1.4345618898877843
1000611,3,Accounting,1.0,Local Operational Record,331,3,0.0909090909090909,0.6616314199395771,7.0,1.4821001741243094
1000612,3,Accounting,1.0,Local Operational Record,382,3,0.072072072072072,0.7774869109947644,6.0,1.2594891721161494
1000613,4,Accounting,0.9640426842390377,Lateral Category Tracking,93,4,0.64,0.978494623655914,8.0,1.6072154543424215
1000614,3,Accounting,1.0,Local Operational Record,363,3,0.4393939393939394,0.5895316804407713,8.0,1.424709861846904
1000615,6,Accounting,1.0,Exceptional/Anomalous,88,2,0.0,0.2613636363636363,4.0,1.0211350467282188
1000616,6,Accounting,1.0,Exceptional/Anomalous,125,2,0.0,0.264,7.0,1.4239500158931373
1000617,6,Accounting,1.0,Exceptional/Anomalous,95,2,0.0,0.5263157894736842,8.0,2.019985202303185
1000618,0,Accounting,1.0,Compact Operational Record,134,3,0.0,0.6417910447761194,13.0,2.20563393368667
1000619,6,Accounting,1.0,Exceptional/Anomalous,126,2,0.0,0.9047619047619048,7.0,1.3940299028041991
1000620,2,Accounting,1.0,Standard Administrative Record,16,2,0.2,0.9375,4.0,1.0337005498525014
1000621,0,Accounting,1.0,Compact Operational Record,22,3,0.125,0.9545454545454546,2.0,0.18490739916777568
1000622,3,Accounting,1.0,Local Operational Record,248,4,0.073170731707317,0.7016129032258065,6.0,1.5985999939595668
1000623,0,Accounting,1.0,Compact Operational Record,323,3,0.0454545454545454,0.9040247678018576,5.0,1.1100173698116405
1000624,0,Accounting,1.0,Compact Operational Record,251,5,0.1166666666666666,0.5976095617529881,6.0,1.3324430468076143
1000625,6,Accounting,1.0,Exceptional/Anomalous,37,1,0.0,0.972972972972973,8.0,1.9059682269576235
1000626,2,Accounting,1.0,Standard Administrative Record,5,1,0.0,0.8,5.0,1.549826045878202
1000627,2,Accounting,1.0,Standard Administrative Record,9,1,0.0,0.8888888888888888,2.0,0.6869615765973234
1000628,0,Accounting,1.0,Compact Operational Record,33,3,0.2857142857142857,0.8181818181818182,10.0,1.906360037398351
1000629,0,Accounting,1.0,Compact Operational Record,194,3,0.1333333333333333,0.7216494845360825,13.0,1.8991920757989158
1000630,6,Accounting,1.0,Exceptional/Anomalous,14,2,0.0,0.8571428571428571,2.0,0.410116318288409
1000631,2,Accounting,0.9907407407407408,Standard Administrative Record,7,2,0.0,0.7142857142857143,5.0,1.4941751382893085
1000632,2,Accounting,1.0,Standard Administrative Record,7,1,0.0,0.8571428571428571,3.0,0.9556998911125343
1000633,0,Accounting,1.0,Compact Operational Record,96,3,0.25,0.9270833333333334,12.0,1.9229662524515738
1000634,3,Accounting,1.0,Local Operational Record,375,4,0.3018867924528302,0.512,7.0,1.1744076217153632
1000635,4,Accounting,0.9826187136846323,Lateral Category Tracking,127,4,0.7,0.7244094488188977,13.0,1.8556975321824856
1000636,6,Accounting,1.0,Exceptional/Anomalous,31,1,0.0,0.7096774193548387,3.0,0.7902195307190024
1000637,4,Accounting,0.9826187136846323,Lateral Category Tracking,79,3,0.625,0.7215189873417721,11.0,1.730958617690538
1000638,6,Accounting,1.0,Exceptional/Anomalous,61,2,0.0,0.9836065573770492,6.0,1.7891802578518519
1000639,2,Accounting,0.99,Standard Administrative Record,11,1,0.0,0.6363636363636364,1.0,0.0
