khipu_id,structural_cluster,silhouette_score
1000000,1,0.33850118262364337
1000001,0,0.33850118262364337
1000002,1,0.33850118262364337
1000003,1,0.33850118262364337
1000004,1,0.33850118262364337
1000005,1,0.33850118262364337
1000006,2,0.33850118262364337
1000007,4,0.33850118262364337
1000008,2,0.33850118262364337
1000009,2,0.33850118262364337
1000010,2,0.33850118262364337
1000011,1,0.33850118262364337
1000012,2,0.33850118262364337
1000013,3,0.33850118262364337
1000014,3,0.33850118262364337
1000015,1,0.33850118262364337
1000017,1,0.33850118262364337
1000018,4,0.33850118262364337
1000019,1,0.33850118262364337
1000020,4,0.33850118262364337
1000021,1,0.33850118262364337
1000022,1,0.33850118262364337
1000023,4,0.33850118262364337
1000024,4,0.33850118262364337
1000025,4,0.33850118262364337
1000026,1,0.33850118262364337
1000027,3,0.33850118262364337
1000028,1,0.33850118262364337
1000029,2,0.33850118262364337
1000030,1,0.33850118262364337
1000031,1,0.33850118262364337
1000032,1,0.33850118262364337
1000033,1,0.33850118262364337
1000034,1,0.33850118262364337
1000035,1,0.33850118262364337
1000036,1,0.33850118262364337
1000037,1,0.33850118262364337
1000038,0,0.33850118262364337
1000039,6,0.33850118262364337
1000040,1,0.33850118262364337
1000041,1,0.33850118262364337
1000042,1,0.33850118262364337
1000043,1,0.33850118262364337
1000044,1,0.33850118262364337
1000045,1,0.33850118262364337
1000046,1,0.33850118262364337
1000047,1,0.33850118262364337
1000048,5,0.33850118262364337
1000049,1,0.33850118262364337
1000050,1,0.33850118262364337
1000051,1,0.33850118262364337
1000052,2,0.33850118262364337
1000053,6,0.33850118262364337
1000054,1,0.33850118262364337
1000055,0,0.33850118262364337
1000056,3,0.33850118262364337
1000057,6,0.33850118262364337
1000058,1,0.33850118262364337
1000059,1,0.33850118262364337
1000060,2,0.33850118262364337
1000061,2,0.33850118262364337
1000062,2,0.33850118262364337
1000063,1,0.33850118262364337
1000064,1,0.33850118262364337
1000065,3,0.33850118262364337
1000066,0,0.33850118262364337
1000067,1,0.33850118262364337
1000068,0,0.33850118262364337
1000069,0,0.33850118262364337
1000070,1,0.33850118262364337
1000071,6,0.33850118262364337
1000072,1,0.33850118262364337
1000073,1,0.33850118262364337
1000074,1,0.33850118262364337
1000075,5,0.33850118262364337
1000076,5,0.33850118262364337
1000077,6,0.33850118262364337
1000078,0,0.33850118262364337
1000079,1,0.33850118262364337
1000080,1,0.33850118262364337
1000081,1,0.33850118262364337
1000082,1,0.33850118262364337
1000083,2,0.33850118262364337
1000084,0,0.33850118262364337
1000085,1,0.33850118262364337
1000086,1,0.33850118262364337
1000087,1,0.33850118262364337
1000088,6,0.33850118262364337
1000089,4,0.33850118262364337
1000090,1,0.33850118262364337
1000091,1,0.33850118262364337
1000092,1,0.33850118262364337
1000093,1,0.33850118262364337
1000094,4,0.33850118262364337
1000096,4,0.33850118262364337
1000097,2,0.33850118262364337
1000098,3,0.33850118262364337
1000099,1,0.33850118262364337
1000100,1,0.33850118262364337
1000101,1,0.33850118262364337
1000103,4,0.33850118262364337
1000105,3,0.33850118262364337
1000106,1,0.33850118262364337
1000107,1,0.33850118262364337
1000108,1,0.33850118262364337
1000109,2,0.33850118262364337
1000110,1,0.33850118262364337
1000111,3,0.33850118262364337
1000112,0,0.33850118262364337
1000113,1,0.33850118262364337
1000114,1,0.33850118262364337
1000115,1,0.33850118262364337
1000116,1,0.33850118262364337
1000117,1,0.33850118262364337
1000118,5,0.33850118262364337
1000119,6,0.33850118262364337
1000120,1,0.33850118262364337
1000121,1,0.33850118262364337
1000122,1,0.33850118262364337
1000123,1,0.33850118262364337
1000124,6,0.33850118262364337
1000125,2,0.33850118262364337
1000126,2,0.33850118262364337
1000127,1,0.33850118262364337
1000128,1,0.33850118262364337
1000129,0,0.33850118262364337
1000130,0,0.33850118262364337
1000131,6,0.33850118262364337
1000132,1,0.33850118262364337
1000133,1,0.33850118262364337
1000134,0,0.33850118262364337
1000135,1,0.33850118262364337
1000136,0,0.33850118262364337
1000137,1,0.33850118262364337
1000138,1,0.33850118262364337
1000139,1,0.33850118262364337
1000140,4,0.33850118262364337
1000141,0,0.33850118262364337
1000142,1,0.33850118262364337
1000143,1,0.33850118262364337
1000144,2,0.33850118262364337
1000145,1,0.33850118262364337
1000146,2,0.33850118262364337
1000147,4,0.33850118262364337
1000148,4,0.33850118262364337
1000149,1,0.33850118262364337
1000150,1,0.33850118262364337
1000151,1,0.33850118262364337
1000152,1,0.33850118262364337
1000154,0,0.33850118262364337
1000155,0,0.33850118262364337
1000156,0,0.33850118262364337
1000157,0,0.33850118262364337
1000158,2,0.33850118262364337
1000159,1,0.33850118262364337
1000160,0,0.33850118262364337
1000161,1,0.33850118262364337
1000162,1,0.33850118262364337
1000163,1,0.33850118262364337
1000164,1,0.33850118262364337
1000165,1,0.33850118262364337
1000166,1,0.33850118262364337
1000167,1,0.33850118262364337
1000168,0,0.33850118262364337
1000169,1,0.33850118262364337
