khipu_id,hierarchy_depth,branching_factor,cord_count,summation_match_rate,has_summation,numeric_coverage,avg_numeric_value,node_density,leaf_ratio,has_aggregation,structural_complexity
1000000,2,3.0,19,0.0,0,0.5263157894736842,34.8,0.0526315789473684,0.65,0,3.25
1000001,1,6.0,7,0.0,0,0.8571428571428571,96.33333333333331,0.1428571428571428,0.75,0,0.8571428571428571
1000002,2,4.285714285714286,31,0.0,0,0.9032258064516128,948.75,0.032258064516129,0.75,0,4.54054054054054
1000003,2,4.75,39,0.0,0,0.8205128205128205,726.15625,0.0256410256410256,0.775,0,5.391304347826087
1000004,2,10.352941176470589,177,0.0,0,0.8926553672316384,34.74050632911393,0.0056497175141242,0.898876404494382,0,14.005181347150259
1000005,2,4.428571428571429,63,0.0,0,0.6349206349206349,68.825,0.0158730158730158,0.765625,0,9.026315789473683
1000006,3,2.4242424242424243,81,0.0,0,0.4691358024691358,3.3684210526315788,0.0123456790123456,0.5853658536585366,1,13.141592920353983
1000007,3,3.2358490566037736,344,0.0240963855421686,0,0.8313953488372093,792.1398601398602,0.002906976744186,0.6898550724637681,1,41.550111358574604
1000008,3,4.538461538461538,60,0.0,0,0.8666666666666667,18.01923076923077,0.0166666666666666,0.7704918032786885,1,4.333333333333333
1000009,3,2.423076923076923,127,0.0303030303030303,0,0.7716535433070866,32.61224489795919,0.0078740157480314,0.5859375,1,14.606741573033709
1000010,3,8.8,89,0.0,0,0.8539325842696629,371.42105263157896,0.0112359550561797,0.8777777777777778,1,6.632653061224489
1000011,2,2.933333333333333,45,0.0909090909090909,0,0.7111111111111111,38.125,0.0222222222222222,0.6521739130434783,0,5.8474576271186445
1000012,3,3.135135135135135,117,0.0,0,0.9316239316239316,364.9266055045872,0.0085470085470085,0.6779661016949152,1,17.41176470588235
1000013,1,30.0,31,0.0,0,0.2580645161290322,7.0,0.032258064516129,0.9375,0,0.967741935483871
1000014,1,37.0,38,0.0,0,0.3157894736842105,18.5,0.0263157894736842,0.9487179487179487,0,0.9736842105263158
1000015,2,10.666666666666666,33,0.0,0,0.6666666666666666,52.72727272727273,0.0303030303030303,0.8823529411764706,0,2.5714285714285716
1000017,2,3.9,40,0.0,0,0.825,27.272727272727277,0.025,0.7317073170731707,0,6.122448979591836
1000018,3,2.6467065868263475,443,0.0566037735849056,0,0.7404063205417607,19.85060975609756,0.0022573363431151,0.6216216216216216,1,60.87684729064039
1000019,2,13.666666666666666,165,0.5714285714285714,1,0.6060606060606061,11.51,0.006060606060606,0.9216867469879518,0,10.15909090909091
1000020,5,3.6445497630331753,771,0.3039215686274509,0,0.6134889753566797,4.879492600422833,0.001295332423737,0.7253886010362695,1,60.50102040816326
1000021,2,4.88,123,0.6521739130434783,1,0.8373983739837398,28.475728155339805,0.008130081300813,0.7903225806451613,0,16.496598639455783
1000022,2,8.1,163,0.75,1,0.8404907975460123,10.248175182481752,0.0061349693251533,0.8719512195121951,0,14.945054945054945
1000023,3,7.15,573,0.125,0,0.5549738219895288,301.4496855345912,0.0017452006980802,0.8588850174216028,1,49.938650306748464
1000024,3,6.741176470588235,574,0.125,0,0.7386759581881533,43.028301886792455,0.0017421602787456,0.8504347826086956,1,62.264437689969604
1000025,3,8.323809523809524,875,0.1639344262295081,0,0.6297142857142857,13.421052631578949,0.0011428571428571,0.8789954337899544,1,61.241062308478035
1000026,2,2.0,19,0.0,0,0.8947368421052632,41.294117647058826,0.0526315789473684,0.5,0,3.3333333333333335
1000027,2,2.2222222222222223,21,0.0,0,0.4285714285714285,4.444444444444445,0.0476190476190476,0.5454545454545454,0,3.7241379310344827
1000028,2,3.0,22,0.25,0,0.6363636363636364,4.357142857142857,0.0454545454545454,0.6521739130434783,0,2.5
1000029,3,7.4411764705882355,254,0.0833333333333333,0,0.6377952755905512,32.82716049382716,0.0039370078740157,0.8627450980392157,1,24.99651567944251
1000030,2,2.5454545454545454,29,0.0,0,0.7931034482758621,36.04347826086956,0.0344827586206896,0.6,0,4.794871794871795
1000031,1,14.0,15,0.0,0,0.8,43.16666666666666,0.0666666666666666,0.875,0,0.9333333333333333
1000032,2,3.25,144,0.0,0,0.9097222222222222,439.0763358778626,0.0069444444444444,0.6896551724137931,0,13.176470588235293
1000033,2,3.5789473684210527,69,0.1666666666666666,0,0.6666666666666666,20.869565217391305,0.0144927536231884,0.7142857142857143,0,10.919540229885056
1000034,2,3.125,101,0.0666666666666666,0,0.9702970297029704,26.040816326530614,0.0099009900990099,0.6764705882352942,0,16.484848484848484
1000035,2,1.894736842105263,37,0.1666666666666666,0,0.7837837837837838,34.27586206896552,0.027027027027027,0.47368421052631576,0,6.218181818181819
1000036,1,20.0,21,0.0,0,0.9523809523809524,18.3,0.0476190476190476,0.9090909090909091,0,0.9523809523809523
1000037,2,6.166666666666667,38,0.0,0,0.9210526315789472,13.82857142857143,0.0263157894736842,0.8205128205128205,0,3.9069767441860463
1000038,2,1.6666666666666667,6,0.0,0,0.6666666666666666,6.75,0.1666666666666666,0.42857142857142855,0,1.1249999999999998
1000039,1,64.0,65,0.0,0,0.7230769230769231,11.595744680851064,0.0153846153846153,0.9696969696969697,0,0.9846153846153847
1000040,2,7.769230769230769,102,0.0833333333333333,0,0.5588235294117647,31.68421052631579,0.0098039215686274,0.8640776699029126,0,9.12280701754386
1000041,1,48.0,49,0.0,0,0.979591836734694,334.1458333333333,0.0204081632653061,0.96,0,0.9795918367346939
1000042,2,9.125,74,0.0,0,0.9324324324324323,38.82608695652174,0.0135135135135135,0.88,0,6.518518518518518
1000043,2,2.1,22,0.0,0,0.9545454545454546,100.0,0.0454545454545454,0.5217391304347826,0,2.903225806451613
1000044,2,2.1538461538461537,29,0.0,0,0.9655172413793104,47.85714285714285,0.0344827586206896,0.5333333333333333,0,5.073170731707317
1000045,2,8.486486486486486,315,0.0625,0,0.6571428571428571,50.38647342995169,0.0031746031746031,0.879746835443038,0,28.039886039886042
1000046,2,10.0,21,0.0,0,0.9523809523809524,36.35,0.0476190476190476,0.8636363636363636,0,1.6363636363636365
1000047,2,2.4482758620689653,72,0.0,0,0.9444444444444444,296.5735294117647,0.0138888888888888,0.589041095890411,0,12.47
1000048,1,21.0,22,0.0,0,0.9545454545454546,9828.142857142857,0.0454545454545454,0.9130434782608695,0,0.9545454545454546
