ablated_feature,remaining_features,adjusted_rand_index,normalized_mutual_info,stability
num_nodes,4,0.31272821126559114,0.49571355429123076,0.31272821126559114
depth,4,0.8692690700609628,0.7902825365353835,0.8692690700609628
avg_branching,4,0.33272770480436076,0.509890022857587,0.33272770480436076
width,4,0.3478128717295032,0.538372239403004,0.3478128717295032
density,4,0.27240098382805444,0.43888085038642966,0.27240098382805444
