khipu_id,numeric_entropy_bits,numeric_entropy_per_cord,max_numeric_entropy,normalized_numeric_entropy,num_unique_values,num_cords_with_values,color_entropy_bits,max_color_entropy,normalized_color_entropy,num_unique_colors,num_color_records,structural_level_entropy,structural_branching_entropy,num_levels,num_cords_total,total_information_bits,info_per_cord,num_nodes,depth,avg_branching,min_bits_numeric,min_bits_color,min_bits_structure,total_min_bits,redundancy_ratio,compression_efficiency
1000000,3.121928094887363,0.3121928094887363,3.169925001442312,0.9848586617875468,9.0,10.0,2.2684727516311214,2.321928094887362,0.9769780367557704,5.0,19.0,0.8524051786494786,0.0,2.0,18.0,6.242806025167963,0.22295735804171296,19.0,2.0,3.0,3.169925001442312,2.321928094887362,1.0,6.491853096329674,0.9616369829282619,1.0398934501821255
1000001,2.584962500721156,0.430827083453526,2.584962500721156,1.0,6.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,6.0,2.584962500721156,0.215413541726763,7.0,1.0,6.0,2.584962500721156,0.0,0.0,2.584962500721156,1.0,1.0
1000002,4.735926350629033,0.16914022680817978,4.754887502163468,0.996012281778316,27.0,28.0,2.6983537370899624,3.0,0.8994512456966541,8.0,29.0,0.7219280948873623,0.0,2.0,30.0,8.156208182606358,0.14062427901045443,31.0,2.0,4.285714285714286,4.754887502163468,3.0,1.0,8.754887502163468,0.9316177027507015,1.073401672217469
1000003,4.78890976555739,0.14965343017366844,4.857980995127572,0.9857819061788307,29.0,32.0,2.051533168647338,2.584962500721156,0.793641365425997,6.0,35.0,0.6892019851173655,0.0,2.0,38.0,7.529644919322093,0.10756635599031562,39.0,2.0,4.75,4.857980995127572,2.584962500721156,1.0,8.442943495848727,0.8918269941074829,1.121293711232383
1000004,4.95676747546468,0.03137194604724481,5.523561956057013,0.89738605539297,46.0,158.0,2.05712807150532,2.807354922057604,0.7327638038718604,7.0,174.0,0.45809492436759114,0.0,2.0,176.0,7.471990471337591,0.022371228956100574,177.0,2.0,10.352941176470589,5.523561956057013,2.807354922057604,1.0,9.330916878114618,0.8007777337362117,1.2487859712760383
1000005,4.971928094887362,0.12429820237218406,5.044394119358453,0.9856343452243364,33.0,40.0,0.2863969571159562,1.0,0.2863969571159562,2.0,60.0,0.7408656862339816,0.0,2.0,62.0,5.9991907382373,0.058815595472914706,63.0,2.0,4.428571428571429,5.044394119358453,1.0,1.0,7.044394119358453,0.8516262203091581,1.1742240623321567
1000006,2.1040982961385435,0.05537100779311956,2.807354922057604,0.7494949354662928,7.0,38.0,1.6719811714830817,2.0,0.8359905857415408,4.0,81.0,1.070589020670526,0.0,3.0,80.0,4.846668488292151,0.04107346176518772,81.0,3.0,2.4242424242424243,2.807354922057604,2.0,1.584962500721156,6.39231742277876,0.7582020991356354,1.3189095640067716
1000007,6.227511829732226,0.021774516887175615,6.977279923499917,0.8925414915284644,126.0,286.0,2.67140373981209,3.0,0.8904679132706966,8.0,362.0,1.2886517455991047,0.0,3.0,343.0,10.18756731514342,0.01619645042153167,344.0,3.0,3.2358490566037736,6.977279923499917,3.0,1.584962500721156,11.562242424221074,0.881106531186552,1.1349365424103017
1000008,3.4400204899423623,0.06615424019119928,4.169925001442312,0.82495979873799,18.0,52.0,0.938240048447182,1.584962500721156,0.5919635625576529,3.0,58.0,1.2789280385262332,0.0,3.0,59.0,5.657188576915778,0.0509656628550971,60.0,3.0,4.538461538461538,4.169925001442312,1.584962500721156,1.584962500721156,7.339850002884624,0.7707498892610141,1.2974377472292449
1000009,4.630730104038872,0.047252348000396655,5.321928094887363,0.8701226362842996,40.0,98.0,2.3282270675733923,2.807354922057604,0.8293312146890771,7.0,124.0,1.4926431757571859,0.0,3.0,126.0,8.45160034736945,0.037730358693613616,127.0,3.0,2.423076923076923,5.321928094887363,2.807354922057604,1.584962500721156,9.714245517666123,0.8700212828674698,1.1493971695774363
1000010,6.001152677888803,0.078962535235379,6.066089190457772,0.9892951602704562,67.0,76.0,2.558419607399264,2.807354922057604,0.9113274517937022,7.0,88.0,1.0869440603241454,0.0,3.0,88.0,9.646516345612211,0.05882022161958665,89.0,3.0,8.8,6.066089190457772,2.807354922057604,1.584962500721156,10.458406613236532,0.9223696020197987,1.0841640897642406
1000011,3.6289280318460233,0.11340400099518823,3.807354922057604,0.9531362602477959,14.0,32.0,1.637411238968545,2.0,0.8187056194842725,4.0,41.0,0.9985090989176322,0.0,2.0,44.0,6.264848369732201,0.08243221539121318,45.0,2.0,2.933333333333333,3.807354922057604,2.0,1.0,6.807354922057604,0.9203058223734537,1.0865953204783778
1000012,5.808136591620099,0.053285656803854116,6.087462841250339,0.9541145043650291,68.0,109.0,2.7852326082661905,3.4594316186372973,0.8051127801633842,11.0,113.0,1.1242592373746327,0.0,3.0,116.0,9.717628437260922,0.04318945972115965,117.0,3.0,3.135135135135135,6.087462841250339,3.4594316186372973,1.584962500721156,11.131856960608792,0.8729566389190715,1.1455322697794457
1000013,1.4056390622295665,0.1757048827786958,1.584962500721156,0.886859507142915,3.0,8.0,0.9043814577244939,1.0,0.9043814577244939,2.0,25.0,0.0,0.0,1.0,30.0,2.3100205199540604,0.06079001368300159,31.0,1.0,30.0,1.584962500721156,1.0,0.0,2.584962500721156,0.8936379229136238,1.1190214452175358
