geo_zone,n,n_complex,complex_rate,ci_lo,ci_hi,mean_n_cords,median_n_cords,mean_n_pattern_types,mean_numeric_coverage
Central Coast,177,15,0.0847457627118644,0.052027874520308236,0.1351060592648385,64.33333333333333,34.0,2.4519774011299433,0.7593856461746056
Cañete–Pisco,82,17,0.2073170731707317,0.13366280607539827,0.3071677469431848,83.54878048780488,32.5,2.402439024390244,0.7602891066976706
Ica & Paracas,109,10,0.09174311926605505,0.05059688881197748,0.16068689305570255,68.01834862385321,28.0,2.229357798165138,0.8024525695279647
Nazca & Far South,33,11,0.3333333333333333,0.19750029467803698,0.5039241820005003,147.8181818181818,58.0,3.0606060606060606,0.7621950619248385
Arica & N. Chile,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463,283.0,100.0,3.3636363636363638,0.6469908139488836
North Peru Coast,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,177.28571428571428,131.0,3.857142857142857,0.8141026658599035
Southern Highlands,2,1,0.5,,,61.5,61.5,2.0,0.78125
Chachapoyas,23,12,0.5217391304347826,0.3296242986421849,0.7076313046005427,250.34782608695653,126.0,4.565217391304348,0.7473547214141836
