kfg_id,n_cords,n_zero,pct_zero,n_zero_pendant,n_zero_sub,pct_zero_pendant,pct_zero_sub,n_groups,n_compliant,n_sub,n_supra,n_trivial,pct_compliant,median_ratio,mean_ratio,beh_label,typology_label,geo_zone,pct_round5,depth,branching_entropy,balance_score
KH0328,61.0,11.0,18.0327868852459,11.0,0.0,18.333333333333332,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,B2,T1,North Peru Coast,0.02,1,0.1222915970693747,0.8740795779037933
KH0329,1227.0,889.0,72.45313773431133,59.0,830.0,26.45739910313901,82.66932270916335,127.0,21.0,6.0,11.0,12.0,16.535433070866144,0.2857142857142857,0.7998984527483634,B2,T2,,0.0621301775147929,2,1.6013226397655451,0.224734510526115
KH0330,69.0,21.0,30.434782608695656,5.0,16.0,20.0,36.36363636363637,24.0,0.0,4.0,2.0,4.0,0.0,0.07090977628269693,3.2459189033271336,B4,T1,,0.4375,3,1.8263137138648349,0.0
KH0331,26.0,2.0,7.6923076923076925,2.0,0.0,7.6923076923076925,0.0,,,,,,,,,B3,T1,,0.1666666666666666,0,0.0,1.0
KH0332,57.0,7.0,12.280701754385964,0.0,7.0,0.0,13.20754716981132,16.0,1.0,4.0,4.0,3.0,6.25,0.625,1.7519408665951357,B4,T1,,0.1,3,2.0,0.0
KH0333,230.0,77.0,33.47826086956522,49.0,28.0,60.49382716049383,18.79194630872483,58.0,7.0,3.0,9.0,33.0,12.068965517241379,1.0,1.9424522144522145,B2,T2,,0.0326797385620915,3,2.107145065010767,0.0
KH0334,9.0,4.0,44.44444444444444,3.0,1.0,60.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,,,B5,T1,,0.2,1,0.7219280948873623,0.111111111111111
KH0335,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B5,T1,,0.5,0,0.0,1.0
KH0336,5.0,1.0,20.0,1.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,B5,T1,,0.25,1,0.8112781244591328,0.6535898384862245
KH0337,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B5,T1,,0.0,0,0.0,1.0
KH0338,75.0,29.0,38.666666666666664,19.0,10.0,30.158730158730158,83.33333333333334,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.022435897435897436,B3,T1,,0.1304347826086956,1,0.7458547791848441,0.6080816411546914
KH0339,55.0,21.0,38.18181818181819,8.0,13.0,100.0,27.659574468085108,18.0,4.0,0.0,0.0,14.0,22.22222222222222,1.0,1.0,B6,T1,,1.0,2,2.4056390622295667,0.3396720073696407
KH0340,31.0,2.0,6.451612903225806,2.0,0.0,12.5,0.0,9.0,0.0,4.0,1.0,0.0,0.0,0.35,0.6374196254631037,B4,T1,,0.2068965517241379,2,1.7743974703476992,0.3820243851397413
KH0341,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B6,T1,,0.75,0,0.0,1.0
KH0342,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B5,T1,,0.3,0,0.0,1.0
KH0343,28.0,2.0,7.142857142857142,0.0,2.0,0.0,66.66666666666666,2.0,0.0,0.0,1.0,0.0,0.0,6.5,6.5,B3,T1,,0.3846153846153846,1,0.4821791902022727,0.615345370918964
KH0344,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B6,T1,,0.4285714285714285,0,0.0,1.0
KH0345,33.0,21.0,63.63636363636363,8.0,13.0,80.0,56.52173913043478,9.0,0.0,0.0,1.0,8.0,0.0,13.5,13.5,B4,T1,,0.25,2,1.846439344671016,0.4085084455774808
KH0346,89.0,4.0,4.49438202247191,4.0,0.0,4.49438202247191,0.0,,,,,,,,,B3,T1,,0.1647058823529411,0,0.0,1.0
KH0347,149.0,84.0,56.375838926174495,84.0,0.0,56.375838926174495,0.0,,,,,,,,,B3,T1,,0.3384615384615385,0,0.0,1.0
KH0348,76.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B3,T1,,0.3289473684210526,0,0.0,1.0
KH0349,866.0,143.0,16.51270207852194,64.0,79.0,19.27710843373494,14.794007490636703,167.0,23.0,32.0,19.0,10.0,13.77245508982036,0.7333333333333333,1.1058483126290235,B4,T2,Nazca & Far South,0.272475795297372,3,2.1904359870769365,0.0255163533380939
KH0350,260.0,137.0,52.69230769230769,134.0,3.0,61.18721461187214,7.317073170731707,36.0,2.0,3.0,11.0,12.0,5.555555555555555,1.4772727272727273,1.6307449494949495,B3,T2,Nazca & Far South,0.1544715447154471,1,0.7422393065959532,0.6168103347862481
KH0351,55.0,36.0,65.45454545454545,18.0,18.0,62.06896551724138,69.23076923076923,23.0,0.0,2.0,0.0,14.0,0.0,0.0,0.10353535353535354,B4,T1,Central Coast,0.3684210526315789,2,1.233257039541544,0.651212252849984
KH0352,157.0,36.0,22.929936305732486,23.0,13.0,28.749999999999996,16.883116883116884,44.0,8.0,7.0,5.0,11.0,18.181818181818183,0.8571428571428571,0.888970658970659,B2,T1,,0.0991735537190082,2,1.8737987255930613,0.4165452120048478
KH0353,43.0,9.0,20.930232558139537,9.0,0.0,40.909090909090914,0.0,9.0,0.0,3.0,4.0,1.0,0.0,1.15,1.8574086452762923,B2,T1,,0.1176470588235294,1,1.78394962600104,0.3019380921021566
KH0354,16.0,5.0,31.25,5.0,0.0,38.46153846153847,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,B3,T1,Ica & Paracas,0.0,1,0.3912435636292556,0.3504809471616711
KH0355,12.0,2.0,16.666666666666664,2.0,0.0,18.181818181818183,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,B2,T1,Ica & Paracas,0.0,1,0.4394969869215133,0.736476861652635
KH0356,23.0,16.0,69.56521739130434,2.0,14.0,22.22222222222222,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B2,T1,Ica & Paracas,0.1428571428571428,1,0.5032583347756457,0.0
KH0357,24.0,2.0,8.333333333333332,2.0,0.0,8.333333333333332,0.0,,,,,,,,,B3,T1,Ica & Paracas,0.2727272727272727,0,0.0,1.0
KH0358,321.0,40.0,12.461059190031152,8.0,32.0,4.790419161676647,20.77922077922078,72.0,1.0,45.0,3.0,0.0,1.3888888888888888,0.23931082981715893,0.3748418527666007,B4,T2,Ica & Paracas,0.195729537366548,2,1.7708203745658244,0.238293867316523
KH0359,304.0,47.0,15.460526315789474,21.0,26.0,12.138728323699421,19.84732824427481,68.0,2.0,40.0,6.0,0.0,2.941176470588235,0.23468013468013466,0.766357034638073,B4,T2,Ica & Paracas,0.1556420233463035,2,1.6774655609121392,0.3134371156384686
KH0360,77.0,28.0,36.36363636363637,25.0,3.0,36.231884057971016,37.5,7.0,0.0,0.0,2.0,1.0,0.0,0.9152298850574713,0.95415556220014,B4,T1,Central Coast,0.3061224489795918,3,0.3193373865339728,0.5288738403320246
KH0361,40.0,8.0,20.0,7.0,1.0,30.434782608695656,5.88235294117647,9.0,1.0,4.0,2.0,0.0,11.11111111111111,0.5454545454545454,1.2013061013061013,B3,T1,Nazca & Far South,0.1875,1,1.5645247207974506,0.4073365204435151
KH0362,218.0,58.0,26.605504587155966,21.0,37.0,29.166666666666668,25.34246575342466,39.0,0.0,6.0,0.0,0.0,0.0,0.013271400132714002,0.025386506829031836,B4,T2,Nazca & Far South,0.35,2,2.4245934586577094,0.156212641535687
KH0363,65.0,18.0,27.692307692307693,16.0,2.0,26.229508196721312,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.004524886877828055,0.0064291101055806935,B3,T1,Central Coast,0.2978723404255319,1,0.3491843735073079,0.7676974019916691
KH0364,44.0,34.0,77.27272727272727,34.0,0.0,79.06976744186046,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,B5,T1,Central Coast,0.5,1,0.1593500626856344,0.8527104386725486
KH0365,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B5,T1,Ica & Paracas,0.375,0,0.0,1.0
KH0366,24.0,7.0,29.166666666666668,7.0,0.0,29.166666666666668,0.0,,,,,,,,,B3,T1,,0.2352941176470588,0,0.0,1.0
KH0367,45.0,26.0,57.77777777777777,26.0,0.0,63.41463414634146,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.1653846153846154,0.1561050061050061,B5,T1,,0.2105263157894736,1,0.4612160405139095,0.7296549986534124
KH0368,14.0,3.0,21.428571428571427,3.0,0.0,21.428571428571427,0.0,,,,,,,,,B5,T1,,0.0,0,0.0,1.0
KH0369,126.0,40.0,31.746031746031743,28.0,12.0,47.45762711864407,17.91044776119403,31.0,2.0,6.0,2.0,13.0,6.451612903225806,0.625,1.122554945054945,B4,T1,Arica & N. Chile,0.5465116279069767,2,1.516596486048762,0.0
KH0370,89.0,23.0,25.842696629213485,16.0,7.0,28.57142857142857,21.21212121212121,27.0,0.0,14.0,1.0,1.0,0.0,0.22792207792207791,0.3947320408971792,B4,T1,Arica & N. Chile,0.5151515151515151,2,1.3466320045263864,0.5129501842316124
KH0371,105.0,33.0,31.428571428571427,24.0,9.0,36.36363636363637,23.076923076923077,28.0,1.0,15.0,1.0,1.0,3.571428571428571,0.15838509316770186,0.3362885549213776,B4,T1,Arica & N. Chile,0.3611111111111111,2,1.4170236828664031,0.4754982928375481
KH0372,100.0,32.0,32.0,21.0,11.0,35.59322033898305,26.82926829268293,30.0,0.0,18.0,1.0,3.0,0.0,0.2,0.35723013347557875,B4,T1,Arica & N. Chile,0.4117647058823529,2,1.422946224311553,0.4541062374417527
KH0373,57.0,17.0,29.82456140350877,0.0,17.0,0.0,35.41666666666667,9.0,0.0,2.0,6.0,0.0,0.0,15.214285714285714,15.753686067019402,B2,T1,Arica & N. Chile,0.375,1,1.2243944454059863,0.803070663854003
KH0374,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,B2,T1,Central Coast,0.0,0,0.0,1.0
KH0375,8.0,2.0,25.0,1.0,1.0,20.0,33.33333333333333,3.0,0.0,2.0,0.0,1.0,0.0,0.2833333333333333,0.2833333333333333,B5,T1,Central Coast,0.3333333333333333,1,0.9709505944546688,0.6938137821521028
KH0376,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,66.66666666666666,1.0,0.70042194092827,B5,T1,Central Coast,0.0,2,0.0,0.8
KH0377,33.0,5.0,15.151515151515152,2.0,3.0,9.523809523809524,25.0,7.0,0.0,5.0,0.0,2.0,0.0,0.16666666666666666,0.20988369060658213,B4,T1,Central Coast,0.2857142857142857,2,0.8631205685666311,0.0465374107544076
KH0378,32.0,14.0,43.75,11.0,3.0,50.0,30.0,7.0,0.0,1.0,0.0,2.0,0.0,0.07692307692307693,0.39371794871794874,B3,T1,Southern Highlands,0.1666666666666666,1,1.267931645520725,0.4623546708098358
