kfg_id,cluster_label,geo_zone,n_cords,n_unique_colors
KH0156,Simple,Nazca & Far South,192,15
KH0157,Simple,Ica & Paracas,20,1
KH0158,Simple,Ica & Paracas,18,2
KH0159,Simple,Ica & Paracas,30,3
KH0160,Simple,Central Coast,62,2
KH0161,Simple,Central Coast,90,4
KH0162,Simple,Ica & Paracas,123,6
KH0163,Simple,Ica & Paracas,18,3
KH0164,Simple,Ica & Paracas,20,5
KH0165,Simple,Ica & Paracas,112,4
KH0166,Simple,Ica & Paracas,41,5
KH0167,Simple,Central Coast,47,2
KH0168,Simple,Ica & Paracas,118,31
KH0169,Simple,,40,5
KH0170,Simple,Central Coast,3,3
KH0171,Simple,Central Coast,9,4
KH0172,Simple,Central Coast,65,4
KH0173,Simple,,34,1
KH0174,Simple,Central Coast,18,2
KH0175,Simple,Ica & Paracas,53,3
KH0176,Simple,Ica & Paracas,23,4
KH0177,Simple,Ica & Paracas,8,1
KH0178,Simple,Ica & Paracas,16,11
KH0179,Simple,Ica & Paracas,5,2
KH0180,Simple,Central Coast,27,2
KH0181,Simple,Ica & Paracas,33,5
KH0182,Simple,Central Coast,21,4
KH0183,Complex,Ica & Paracas,362,17
KH0184,Simple,Central Coast,9,2
KH0185,Simple,,18,7
KH0186,Simple,,30,3
KH0187,Simple,Central Coast,125,58
KH0188,Simple,Ica & Paracas,24,6
KH0189,Simple,Central Coast,59,8
KH0190,Simple,Ica & Paracas,15,3
KH0191,Simple,Ica & Paracas,27,4
KH0192,Complex,Central Coast,338,9
KH0193,Complex,Nazca & Far South,303,10
KH0194,Simple,Central Coast,15,2
KH0195,Simple,Central Coast,30,4
KH0196,Simple,Ica & Paracas,28,6
KH0197,Simple,Ica & Paracas,35,8
KH0198,Complex,,149,20
KH0199,Simple,,5,5
KH0200,Simple,,22,1
KH0201,Simple,,7,2
KH0202,Simple,,9,2
KH0203,Simple,,30,9
KH0204,Simple,,64,6
KH0205,Simple,Central Coast,3,1
KH0206,Simple,Central Coast,12,3
KH0207,Simple,Central Coast,35,4
KH0208,Simple,,101,3
KH0209,Simple,Ica & Paracas,7,1
KH0210,Simple,Ica & Paracas,13,4
KH0211,Simple,Ica & Paracas,8,1
KH0212,Simple,Ica & Paracas,7,4
KH0213,Simple,Ica & Paracas,7,4
KH0214,Simple,Ica & Paracas,6,3
KH0215,Simple,Ica & Paracas,11,2
KH0216,Simple,,19,1
KH0217,Simple,,86,18
KH0218,Simple,Central Coast,64,3
KH0219,Simple,Ica & Paracas,18,3
KH0220,Simple,,30,2
KH0221,Simple,,37,3
KH0222,Simple,Ica & Paracas,20,4
KH0223,Simple,Ica & Paracas,21,4
KH0224,Simple,,32,4
KH0225,Complex,,253,19
KH0226,Simple,,28,3
KH0227,Simple,,14,3
KH0228,Complex,,218,10
KH0229,Simple,,143,9
KH0230,Simple,,39,14
KH0231,Simple,,68,2
KH0232,Simple,,100,7
KH0233,Simple,,36,6
KH0234,Simple,,20,3
KH0235,Simple,Nazca & Far South,37,4
KH0236,Simple,Nazca & Far South,5,4
KH0237,Complex,Chachapoyas,572,15
KH0238,Simple,Chachapoyas,116,17
KH0239,Complex,Chachapoyas,758,36
KH0240,Complex,Chachapoyas,573,12
KH0241,Simple,Chachapoyas,62,8
KH0242,Complex,Chachapoyas,874,8
KH0243,Simple,Chachapoyas,80,4
KH0244,Simple,Chachapoyas,6,1
KH0245,Complex,Chachapoyas,164,7
KH0246,Complex,Chachapoyas,176,10
KH0247,Complex,Chachapoyas,343,32
KH0248,Simple,Chachapoyas,126,10
KH0249,Simple,Chachapoyas,59,4
KH0250,Simple,Chachapoyas,44,5
KH0251,Simple,Chachapoyas,88,14
KH0252,Complex,Chachapoyas,442,12
KH0253,Complex,Chachapoyas,122,16
KH0254,Simple,Chachapoyas,38,8
KH0255,Simple,Chachapoyas,18,5
KH0256,Simple,Chachapoyas,30,9
KH0257,Complex,Chachapoyas,162,10
KH0258,Complex,Chachapoyas,314,6
KH0259,Simple,Ica & Paracas,20,2
KH0260,Simple,Ica & Paracas,19,2
KH0261,Simple,,46,4
KH0262,Simple,Ica & Paracas,17,2
KH0263,Simple,Ica & Paracas,91,4
KH0264,Simple,Ica & Paracas,75,3
KH0265,Simple,Ica & Paracas,38,7
KH0266,Simple,Ica & Paracas,8,7
KH0267,Complex,,188,21
KH0268,Simple,Arica & N. Chile,22,6
KH0269,Complex,,171,53
KH0270,Simple,,39,14
KH0271,Complex,Southern Highlands,91,2
KH0272,Simple,Nazca & Far South,49,5
KH0273,Simple,,43,3
KH0274,Simple,,25,4
KH0275,Complex,,160,16
KH0276,Simple,Central Coast,107,11
KH0277,Simple,Central Coast,47,67
KH0278,Simple,Central Coast,61,10
KH0279,Complex,,327,37
KH0280,Complex,,164,2
KH0281,Simple,,98,5
KH0282,Simple,,98,3
KH0283,Simple,,55,6
KH0284,Simple,,54,4
KH0285,Simple,,61,4
KH0286,Simple,,72,5
KH0287,Simple,,105,4
KH0288,Complex,,115,2
KH0289,Complex,,180,4
KH0290,Simple,,42,16
KH0291,Simple,,38,7
KH0292,Simple,,24,2
KH0293,Simple,Ica & Paracas,42,2
