kfg_id,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,n_pp,n_ip,n_cp,n_pattern_types,n_cords,n_pendants,n_subsidiaries,n_groups,numeric_coverage,frac_broken,n_colors,region,creation_date,provenance_display,geo_zone
KH0152,1,1,1,1,1,0,1,1,0,613,52,11,7,285,103,1,21,0.9052631578947369,0.021052631578947368,4,Unknown,11/11/2011,Nazca,Nazca & Far South
KH0153,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,2,1.0,0.0,3,Unknown,11/11/2011,Chuquitanta,Central Coast
KH0154,1,0,1,0,0,0,0,0,0,18,0,1,2,35,0,0,5,1.0,0.0,6,Unknown,11/11/2011,Ica,Ica & Paracas
KH0155,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,3,0.7857142857142857,0.07142857142857142,3,Unknown,11/11/2011,Pachacamac,Central Coast
KH0156,1,1,1,0,0,0,0,0,0,564,61,37,3,192,10,0,21,0.96875,0.08854166666666667,4,Unknown,11/11/2011,Nazca,Nazca & Far South
KH0157,0,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,10,1.0,0.0,1,Unknown,11/11/2011,Ica,Ica & Paracas
KH0158,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,2,0.8333333333333334,0.05555555555555555,2,Unknown,11/11/2011,Ica,Ica & Paracas
KH0159,0,1,1,0,0,0,0,0,0,0,2,3,2,30,0,0,9,1.0,0.03333333333333333,3,Unknown,11/11/2011,Ica,Ica & Paracas
KH0160,1,1,1,0,0,0,0,0,1,11,1,2,4,62,0,0,17,0.9032258064516129,0.03225806451612903,2,Unknown,11/11/2011,Pachacamac,Central Coast
KH0161,1,1,0,0,0,0,0,0,0,38,8,0,2,90,2,0,9,0.8333333333333334,0.07777777777777778,4,Unknown,11/11/2011,Pachacamac,Central Coast
KH0162,1,1,1,1,0,1,0,0,0,258,1,11,5,123,13,0,5,0.8617886178861789,0.0,5,Unknown,11/11/2011,Ica,Ica & Paracas
KH0163,1,1,0,0,0,0,0,0,0,2,1,0,2,18,0,0,9,1.0,0.0,1,Unknown,11/11/2011,Ocucaje,Ica & Paracas
KH0164,0,1,0,0,0,0,0,0,0,0,2,0,1,20,0,0,10,1.0,0.1,3,Unknown,11/11/2011,Ocucaje,Ica & Paracas
KH0165,1,1,1,0,1,0,0,0,0,31,31,21,4,112,0,0,25,0.9464285714285714,0.0625,3,Unknown,11/11/2011,Ocucaje,Ica & Paracas
KH0166,1,0,0,1,0,0,0,0,0,9,0,0,2,41,13,1,4,0.9024390243902439,0.04878048780487805,5,Unknown,11/11/2011,Ica,Ica & Paracas
KH0167,1,0,0,1,0,1,0,1,1,25,0,0,5,47,20,4,4,0.8723404255319149,0.02127659574468085,2,Unknown,11/11/2011,Pachacamac,Central Coast
