kfg_id,provenance_display,geo_zone,cluster_label,n_cords,n_pattern_types,n_unique_colors,numeric_coverage,frac_broken,sub_ratio,group_size,iso_score,lof_score,z_max,z_flag_feature,iso_flagged,lof_flagged,z_flagged,n_methods_flagged,anomaly_class
KH0134,Ica,Ica & Paracas,Simple,36,2,30,1.0,0.0,0.0,1.0,0.3897847445194426,1.7991392092501481,1.1165743088336193,n_unique_colors,False,True,False,1,Candidate
KH0329,Unknown,,Complex,1227,8,129,0.2754686226568867,0.0782396088019559,0.0502092050209205,79.66666666666667,0.7855970737738479,4.153779783343806,16.759900883930953,n_pendants,True,True,True,3,High-confidence
KH0082,Lluta Valley,Arica & N. Chile,Complex,1831,7,236,0.2184598580010923,0.0016384489350081,0.05847953216374269,0.37336244541484714,0.7547821484771406,5.609761258238895,18.914955083726092,n_groups,True,True,True,3,High-confidence
KH0083,Mollepampa,Chachapoyas,Complex,591,5,151,0.6040609137055838,0.0,1.2355555555555555,15.0,0.7350448057135925,4.47238954754241,18.744944636623483,n_subsidiaries,True,True,True,3,High-confidence
KH0665,Unknown,,Complex,354,3,136,0.4011299435028249,0.2401129943502825,0.5696969696969697,4.342105263157895,0.6942255550168085,2.3405953339958963,7.044032499557772,n_unique_colors,True,True,True,3,High-confidence
KH0349,Nazca,Nazca & Far South,Complex,866,9,37,0.8348729792147807,0.0658198614318706,0.05742574257425743,16.29032258064516,0.6851686200539626,2.4571124796532926,8.668683023069859,n_pendants,True,True,True,3,High-confidence
KH0239,Leymebamba,Chachapoyas,Complex,758,6,36,0.6147757255936676,0.1147757255936675,0.21683673469387754,26.133333333333333,0.6847112177586462,1.9882007320985846,6.641393403829716,n_pendants,True,True,True,3,High-confidence
KH0498,Incahuasi,Cañete–Pisco,Complex,490,4,16,0.7653061224489796,0.4653061224489795,0.6073059360730594,24.333333333333332,0.6636933428159679,2.285440927580315,8.859472012389991,n_subsidiaries,True,True,True,3,High-confidence
KH0519,Incahuasi,Cañete–Pisco,Complex,250,4,6,0.6,0.576,1.0285714285714285,17.5,0.641519406218035,2.347003409475457,7.155080180625595,n_subsidiaries,True,True,True,3,High-confidence
KH0468,Ica / Pisco,Ica & Paracas,Complex,955,6,54,0.237696335078534,0.1717277486910994,0.0,1.1111111111111112,0.6351891468644885,2.0210610310242267,6.240117937313608,n_cords,True,True,True,3,High-confidence
KH0084,Lluta Valley,Arica & N. Chile,Complex,405,4,229,0.4,0.0,0.10071942446043165,5.56,0.6315107043975433,3.620824647517035,12.24453827066481,n_unique_colors,True,True,True,3,High-confidence
KH0242,Leymebamba,Chachapoyas,Complex,874,9,8,0.6281464530892449,0.0011441647597254,0.06315789473684211,4.523809523809524,0.6304689615081388,1.9024247528432046,5.6567952119213905,n_cords,True,True,True,3,High-confidence
KH0382,Ica Valley (Hda. Callango / Ocucaje),Ica & Paracas,Simple,125,1,30,0.928,0.064,0.38666666666666666,75.0,0.6107093666267466,1.9845192234013402,9.531991864162409,group_size,True,True,True,3,High-confidence
KH0568,Unknown,,Complex,225,2,32,0.2355555555555555,0.5511111111111111,0.0,6.5,0.5653996417570605,2.069817923877036,3.1070920322340707,n_pendants,True,True,True,3,High-confidence
KH0016,Unknown,,Simple,23,0,3,0.391304347826087,0.0,9.0,0.25,0.5652387812768501,9.851104967844972,23.710696063799965,sub_ratio,True,True,True,3,High-confidence
KH0617,Incahuasi,Cañete–Pisco,Complex,374,7,12,0.5133689839572193,0.7727272727272727,0.296969696969697,9.166666666666666,0.6219633788807309,1.6387684581912967,3.132715457661622,n_subsidiaries,True,False,True,2,High-confidence
KH0453,Chancay,Central Coast,Simple,268,3,60,0.8507462686567164,0.3022388059701492,0.14912280701754385,38.0,0.6190919671021518,1.6381751894124665,4.632749308874997,group_size,True,False,True,2,High-confidence
KH0454,Pachacamac,Central Coast,Simple,169,0,10,0.3609467455621302,0.0828402366863905,0.3173076923076923,52.0,0.5998517139226672,1.5978910567115074,6.486516762226991,group_size,True,False,True,2,High-confidence
KH0674,Unknown,,Complex,623,8,26,0.7351524879614767,0.0690208667736757,0.12804878048780488,4.0,0.5927057992936764,1.7335598320340821,4.7185859207734495,n_colors,True,False,True,2,High-confidence
KH0295,Unknown,,Simple,256,2,23,0.6015625,0.01171875,0.45454545454545453,11.916666666666666,0.5844084366567741,1.6181024217671411,4.223526229990835,n_subsidiaries,True,False,True,2,High-confidence
KH0389,Hda. Ullujalla / Callengo,Cañete–Pisco,Complex,264,6,17,0.7272727272727273,0.4128787878787879,0.7878787878787878,1.9411764705882353,0.5820343217757058,1.473694757431697,3.3372424774733496,n_subsidiaries,True,False,True,2,High-confidence
KH0294,"Arica, Chile (Playa Miller 6)",Arica & N. Chile,Complex,275,4,29,0.7927272727272727,0.0,0.391025641025641,17.333333333333332,0.5810023088751797,1.5075701460996949,3.950823536908532,n_subsidiaries,True,False,True,2,High-confidence
KH0676,Ancon (prob.),Central Coast,Simple,138,2,11,0.9927536231884058,0.0144927536231884,0.5208333333333334,48.0,0.5609980284288355,1.6633548910256177,5.956868918412136,group_size,True,False,True,2,High-confidence
KH0237,Leymebamba,Chachapoyas,Complex,572,8,15,0.5559440559440559,0.0192307692307692,0.13013698630136986,3.0416666666666665,0.5582888023320913,1.340453399049816,3.4819376431750997,n_cords,True,False,True,2,High-confidence
KH0068,Unknown,,Complex,589,7,29,0.3123938879456706,0.0390492359932088,0.0,0.30851063829787234,0.5579246972797149,1.669597475701132,3.604363400356182,n_cords,True,False,True,2,High-confidence
KH0034,Nazca,Nazca & Far South,Complex,541,4,15,0.4399260628465804,0.2476894639556377,0.0,1.1666666666666667,0.5553845786547194,1.7239156634607542,4.07213149321719,n_groups,True,False,True,2,High-confidence
KH0049,South Coast,Nazca & Far South,Complex,367,3,8,0.9564032697547684,0.0326975476839237,0.0,37.0,0.5552266798924551,1.5271152145565776,4.500337347921283,group_size,True,False,True,2,High-confidence
KH0252,Leymebamba,Chachapoyas,Complex,442,6,12,0.7398190045248869,0.1923076923076923,0.013824884792626729,31.0,0.5442503164298859,1.6064707058509726,3.7058655821990003,group_size,True,False,True,2,High-confidence
KH0415,Chuquitanta,Central Coast,Simple,90,3,33,0.9333333333333332,0.0444444444444444,0.1346153846153846,52.0,0.5438057006298236,1.574788505544242,6.486516762226991,group_size,True,False,True,2,High-confidence
KH0240,Leymebamba,Chachapoyas,Complex,573,8,12,0.7399650959860384,0.0122164048865619,0.04597701149425287,1.1917808219178083,0.5415717776084251,1.4218027581643748,3.4891391583033986,n_cords,True,False,True,2,High-confidence
KH0383,Ica Valley (Hda. Callango / Ocucaje),Ica & Paracas,Simple,133,2,16,0.8421052631578947,0.0601503759398496,0.3058823529411765,42.5,0.5410913095932894,1.4764881842034694,5.228603133166709,group_size,True,False,True,2,High-confidence
KH0694,Unknown,,Complex,175,7,115,0.6857142857142857,0.08,0.0,1.8333333333333333,0.5355380443097179,2.0100833096142443,5.869724744791666,n_unique_colors,False,True,True,2,High-confidence
KH0457,Ica,Ica & Paracas,Simple,65,1,60,0.8923076923076924,0.0769230769230769,0.0,0.0,0.5307389780248193,1.9715099928951538,4.7185859207734495,n_colors,False,True,True,2,High-confidence
KH0280,Unknown,,Complex,164,3,2,1.0,0.4817073170731707,0.0,0.0,0.5226154843548788,2.630453230623576,6.446983267698616,n_groups,False,True,True,2,High-confidence
KH0621,Incahuasi,Cañete–Pisco,Simple,60,0,8,1.0,0.0,0.0,50.0,0.5084204834528125,1.8145298311163245,6.221692840319563,group_size,False,True,True,2,High-confidence
KH0289,Unknown,,Complex,180,4,4,0.9777777777777776,0.0611111111111111,0.0,0.0,0.5017482641126431,2.522498401625488,7.125512346121879,n_groups,False,True,True,2,High-confidence
KH0135,Pachacamac,Central Coast,Complex,281,2,3,0.0747330960854092,0.0071174377224199,0.0,0.0125,0.5014742619560884,2.2251464182302105,3.0282666188443144,numeric_coverage,False,True,True,2,High-confidence
KH0107,Peru (unknown),,Simple,51,0,3,0.7450980392156863,0.1372549019607843,0.25,36.0,0.4938015185923546,1.8237405203644166,4.36792538696757,group_size,False,True,True,2,High-confidence
KH0053,Unknown,,Simple,14,1,5,0.7142857142857143,0.2142857142857142,2.0,0.3333333333333333,0.4777323774488915,2.4319032506603953,5.121889558079509,sub_ratio,False,True,True,2,High-confidence
KH0288,Unknown,,Complex,115,4,2,0.991304347826087,0.0608695652173913,0.0,0.0,0.47036744111084483,2.306273598983625,4.368987965027369,n_groups,False,True,True,2,High-confidence
KH0277,Lima (Pueblo Libre),Central Coast,Simple,47,4,67,1.0,0.0425531914893617,0.0,0.0,0.46899123672452014,2.196301879230875,3.1855927338977104,n_unique_colors,False,True,True,2,High-confidence
KH0271,Huari,Southern Highlands,Complex,91,4,2,1.0,0.0219780219780219,0.0,0.0,0.4677533856228055,2.364823058802684,3.3511943473924726,n_groups,False,True,True,2,High-confidence
KH0015,Unknown,,Simple,75,2,3,1.0,0.0,0.13793103448275862,29.0,0.4650623255207482,2.04899704319108,3.4410416602915728,group_size,False,True,True,2,High-confidence
KH0384,Pisco Valley,Cañete–Pisco,Complex,96,3,2,1.0,0.0,0.0,0.0,0.46418148784144697,2.4577738720020545,3.5632346843997427,n_groups,False,True,True,2,High-confidence
