khipu_id,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000000,19,18,1.894736842105263,13,0.05263157894736842,2,13,3.0,1,13,0.5263157894736842,0.9473684210526315,6.2,5.344155686354955
1000001,7,6,1.7142857142857142,6,0.14285714285714285,1,6,6.0,1,6,0.8571428571428571,0.8571428571428571,18537043.166666668,41400402.05301871
1000002,31,30,1.935483870967742,24,0.03225806451612903,2,24,4.285714285714286,1,24,0.9032258064516129,0.9032258064516129,4897835.285714285,20637113.91739299
1000003,39,38,1.9487179487179487,31,0.02564102564102564,2,31,4.75,1,31,0.8205128205128205,0.8461538461538461,7395919.96875,26849178.311704285
1000004,177,176,1.9887005649717515,159,0.005649717514124294,2,159,10.352941176470589,1,160,0.8926553672316384,0.9774011299435028,711865.6962025317,8811267.16439381
1000005,63,62,1.9682539682539681,49,0.015873015873015872,2,49,4.428571428571429,1,49,0.6349206349206349,0.9365079365079365,622541.275,2418316.2932756124
1000006,81,80,1.9753086419753085,45,0.012345679012345678,3,45,2.4242424242424243,1,48,0.4691358024691358,0.9876543209876543,1.605263157894737,0.7447879841097318
1000007,344,343,1.994186046511628,176,0.0029069767441860465,3,176,3.2358490566037736,1,238,0.8313953488372093,0.997093023255814,4995002.0,22008279.76388802
1000008,60,59,1.9666666666666666,24,0.016666666666666666,3,31,4.538461538461538,1,47,0.8666666666666667,0.95,2139350.826923077,15259106.26023902
1000009,127,126,1.984251968503937,50,0.007874015748031496,3,54,2.423076923076923,1,75,0.7716535433070866,0.968503937007874,1401.9591836734694,11250.527040641766
1000010,89,88,1.9775280898876404,65,0.011235955056179775,3,65,8.8,1,79,0.8539325842696629,0.9550561797752809,7160536.7894736845,24803774.279920578
1000011,45,44,1.9555555555555555,23,0.022222222222222223,2,23,2.933333333333333,1,30,0.7111111111111111,0.8888888888888888,7642.78125,26850.465264514478
1000012,117,116,1.982905982905983,72,0.008547008547008548,3,72,3.135135135135135,1,80,0.9316239316239316,0.9572649572649573,9927204.724770643,30514264.306999486
1000013,31,30,1.935483870967742,30,0.03225806451612903,1,30,30.0,1,30,0.25806451612903225,0.7741935483870968,2.25,1.3919410907075054
1000014,38,37,1.9473684210526316,37,0.02631578947368421,1,37,37.0,1,37,0.3157894736842105,0.9736842105263158,3.5,2.5
1000015,33,32,1.9393939393939394,30,0.030303030303030304,2,30,10.666666666666666,1,30,0.6666666666666666,0.9393939393939394,10606734.545454545,31866021.30252811
1000017,40,39,1.95,30,0.025,2,30,3.9,1,30,0.825,0.975,412.6363636363636,1909.457321258579
1000018,443,442,1.9954853273137698,222,0.002257336343115124,3,222,2.6467065868263475,1,276,0.7404063205417607,0.9932279909706546,1707596.6981707318,13612329.157190574
1000019,165,164,1.9878787878787878,149,0.006060606060606061,2,149,13.666666666666666,1,153,0.6060606060606061,0.9575757575757575,1113.8,11055.235289219312
1000020,771,769,1.9948119325551232,281,0.0012953324237370929,5,400,3.6445497630331753,2,560,0.6134889753566797,0.9753566796368353,1.723044397463002,1.3552176331217076
1000021,123,122,1.983739837398374,97,0.008130081300813009,2,95,4.88,1,98,0.8373983739837398,0.8943089430894309,129586.63106796116,1098085.2972103546
