kfg_id,provenance_display,n_cords,n_pattern_types,cluster,nn_top_zone,nn_top_weight,nn_zones,nn_dists
KH0296,Unknown,136,5,0,Central Coast,0.527,Ica & Paracas|Central Coast|Central Coast|Central Coast|Chachapoyas,0.619|1.087|1.118|1.150|1.253
KH0300,Unknown,111,4,0,Central Coast,0.765,Ica & Paracas|Central Coast|Central Coast|Central Coast|Central Coast,0.899|1.019|1.072|1.155|1.189
KH0305,Unknown,73,4,0,Central Coast,0.818,Central Coast|Central Coast|Ica & Paracas|Central Coast|Central Coast,0.342|0.430|0.603|0.909|0.924
KH0310,Unknown,74,1,0,Central Coast,0.866,Central Coast|Central Coast|Central Coast|Central Coast|Chachapoyas,0.284|0.687|0.700|0.843|0.855
KH0314,Unknown,25,0,0,Nazca & Far South,0.29,Nazca & Far South|Cañete–Pisco|Central Coast|Chachapoyas|Ica & Paracas,0.184|0.241|0.272|0.352|0.375
KH0321,Unknown,273,5,1,Central Coast,0.61,Central Coast|Central Coast|Chachapoyas|Ica & Paracas|Central Coast,1.105|1.234|1.237|1.356|1.423
KH0322,Unknown,107,5,0,Cañete–Pisco,0.49,Cañete–Pisco|Nazca & Far South|Central Coast|Ica & Paracas|Central Coast,0.265|0.911|1.032|1.062|1.080
KH0329,Unknown,1227,8,1,Chachapoyas,0.571,Ica & Paracas|Chachapoyas|Nazca & Far South|Chachapoyas|Chachapoyas,3.521|3.592|3.692|4.008|4.741
KH0330,Unknown,69,1,0,Central Coast,0.395,Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas|Central Coast,0.534|0.631|0.675|0.735|0.976
KH0331,Unknown,26,1,0,Cañete–Pisco,0.446,Cañete–Pisco|Ica & Paracas|Central Coast|Ica & Paracas|Ica & Paracas,0.048|0.126|0.152|0.172|0.177
KH0332,Unknown,57,0,0,Central Coast,0.587,Central Coast|Ica & Paracas|North Peru Coast|Central Coast|Central Coast,0.131|0.151|0.271|0.277|0.296
KH0333,Unknown,230,5,1,Cañete–Pisco,0.534,Cañete–Pisco|Central Coast|Cañete–Pisco|Central Coast|Central Coast,0.382|0.752|1.079|1.129|1.135
KH0334,Unknown,9,0,0,Ica & Paracas,0.428,Ica & Paracas|Nazca & Far South|Chachapoyas|Southern Highlands|Cañete–Pisco,0.039|0.073|0.098|0.174|0.204
KH0335,Unknown,4,0,0,Central Coast,0.727,Central Coast|Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas,0.007|0.007|0.027|0.027|0.027
KH0336,Unknown,5,0,0,Nazca & Far South,0.475,Central Coast|Nazca & Far South|Nazca & Far South|Cañete–Pisco|Cañete–Pisco,0.039|0.039|0.051|0.077|0.088
KH0337,Unknown,3,0,0,Cañete–Pisco,0.5,Cañete–Pisco|Central Coast|Central Coast|Cañete–Pisco|Cañete–Pisco,0.000|0.000|0.007|0.007|0.013
KH0338,Unknown,75,3,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.293|0.354|0.436|0.670|0.676
KH0339,Unknown,55,0,0,Cañete–Pisco,0.607,Cañete–Pisco|Central Coast|Cañete–Pisco|Cañete–Pisco|Nazca & Far South,0.212|0.225|0.250|0.281|0.285
KH0340,Unknown,31,2,0,Ica & Paracas,0.691,Ica & Paracas|Chachapoyas|Ica & Paracas|Ica & Paracas|North Peru Coast,0.200|0.309|0.314|0.323|0.550
KH0341,Unknown,4,0,0,Central Coast,0.444,Central Coast|Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas,0.039|0.039|0.047|0.047|0.047
KH0342,Unknown,10,1,0,Central Coast,0.781,Central Coast|Cañete–Pisco|Central Coast|Central Coast|Central Coast,0.080|0.116|0.119|0.187|0.227
KH0343,Unknown,28,3,0,Central Coast,0.628,Central Coast|Ica & Paracas|Central Coast|Ica & Paracas|Central Coast,0.282|0.351|0.378|0.556|0.610
KH0344,Unknown,7,0,0,Ica & Paracas,0.444,Ica & Paracas|Cañete–Pisco|Central Coast|Ica & Paracas|Central Coast,0.007|0.007|0.007|0.007|0.013
KH0345,Unknown,33,0,0,Central Coast,0.484,Central Coast|Cañete–Pisco|Central Coast|Ica & Paracas|Nazca & Far South,0.213|0.287|0.348|0.393|0.494
KH0346,Unknown,89,6,0,Central Coast,0.548,Central Coast|Cañete–Pisco|Cañete–Pisco|Central Coast|Nazca & Far South,0.434|1.037|1.115|1.207|1.380
KH0347,Unknown,149,1,0,Central Coast,0.819,Central Coast|Central Coast|Ica & Paracas|Central Coast|Central Coast,0.748|0.805|1.016|1.028|1.098
KH0348,Unknown,76,6,0,Central Coast,0.7,Central Coast|Central Coast|Cañete–Pisco|Cañete–Pisco|Central Coast,0.459|1.168|1.238|1.265|1.431
KH0352,Unknown,157,5,0,Central Coast,0.611,Cañete–Pisco|Central Coast|Central Coast|Central Coast|Central Coast,0.339|0.686|0.740|1.098|1.104
KH0353,Unknown,43,1,0,Ica & Paracas,0.397,Nazca & Far South|Ica & Paracas|Ica & Paracas|Central Coast|Chachapoyas,0.125|0.223|0.240|0.381|0.398
KH0366,Unknown,24,2,0,Ica & Paracas,0.736,Ica & Paracas|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.147|0.704|1.003|1.016|1.031
KH0367,Unknown,45,3,0,Central Coast,0.429,Central Coast|Central Coast|Cañete–Pisco|Cañete–Pisco|Ica & Paracas,0.931|1.068|1.093|1.132|1.141
KH0368,Unknown,14,1,0,Central Coast,0.401,Central Coast|Cañete–Pisco|Nazca & Far South|Central Coast|Cañete–Pisco,1.001|1.003|1.003|1.004|1.009
KH0381,Unknown,33,2,0,Ica & Paracas,0.639,Ica & Paracas|Central Coast|Ica & Paracas|Ica & Paracas|Central Coast,0.325|0.446|0.566|0.650|0.736
KH0386,Belli Collection,91,5,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,1.051|1.124|1.262|1.271|1.298
KH0387,Unknown,59,4,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,1.041|1.098|1.105|1.139|1.347
KH0388,Unknown,11,3,0,Central Coast,0.587,Ica & Paracas|Central Coast|Cañete–Pisco|Central Coast|Central Coast,0.948|1.012|1.050|1.068|1.083
KH0390,Unknown,25,2,0,Ica & Paracas,0.66,Ica & Paracas|Central Coast|Central Coast|Nazca & Far South|Central Coast,0.020|0.047|0.490|0.761|1.003
KH0393,Unknown,66,2,0,Cañete–Pisco,0.368,Cañete–Pisco|Central Coast|Ica & Paracas|Ica & Paracas|Central Coast,0.337|0.507|0.819|1.050|1.055
KH0400,Unknown,25,3,0,Central Coast,0.397,Ica & Paracas|Nazca & Far South|Central Coast|Central Coast|Chachapoyas,1.014|1.030|1.049|1.051|1.064
KH0401,Unknown,15,0,0,Central Coast,0.877,Central Coast|Central Coast|Central Coast|Cañete–Pisco|Nazca & Far South,0.020|0.071|0.144|0.197|0.206
KH0403,Unknown,7,0,0,Ica & Paracas,0.444,Ica & Paracas|Cañete–Pisco|Central Coast|Ica & Paracas|Central Coast,0.007|0.007|0.007|0.007|0.013
KH0409,Unknown,68,1,0,Cañete–Pisco,0.414,Cañete–Pisco|Central Coast|Ica & Paracas|Cañete–Pisco|Ica & Paracas,0.616|0.695|0.780|1.020|1.027
KH0410,Unknown,40,0,0,Ica & Paracas,0.448,Ica & Paracas|Cañete–Pisco|Central Coast|Ica & Paracas|Central Coast,0.268|0.356|0.410|0.414|0.429
KH0411,Unknown,28,4,0,Central Coast,0.87,Central Coast|Cañete–Pisco|Central Coast|Central Coast|Central Coast,0.179|0.806|1.047|1.059|1.227
KH0412,Unknown,7,1,0,Central Coast,0.775,Central Coast|Central Coast|Cañete–Pisco|Central Coast|Central Coast,0.087|0.116|0.118|0.203|0.236
KH0413,Unknown,9,1,0,Cañete–Pisco,0.654,Cañete–Pisco|Central Coast|Central Coast|Ica & Paracas|Ica & Paracas,0.007|0.020|0.047|0.240|0.249
KH0414,Unknown,12,2,0,Central Coast,0.799,Central Coast|Central Coast|Central Coast|Ica & Paracas|Ica & Paracas,0.152|0.329|0.356|0.579|0.717
KH0422,Unknown,39,4,0,Ica & Paracas,0.628,Ica & Paracas|Cañete–Pisco|Ica & Paracas|Central Coast|Central Coast,0.191|0.394|0.414|1.003|1.009
KH0423,Unknown,16,0,0,Central Coast,0.786,Central Coast|Central Coast|Arica & N. Chile|Central Coast|Central Coast,0.094|0.094|0.103|0.119|0.166
KH0426,Unknown,78,5,0,Central Coast,0.527,Central Coast|Ica & Paracas|Central Coast|Cañete–Pisco|Cañete–Pisco,0.281|0.466|0.712|0.817|0.914
KH0427,Unknown,88,4,0,Cañete–Pisco,0.717,Cañete–Pisco|Central Coast|Cañete–Pisco|Nazca & Far South|Cañete–Pisco,0.338|1.020|1.037|1.073|1.088
KH0462,Unknown,23,1,0,Ica & Paracas,1.0,Ica & Paracas|Ica & Paracas|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.127|0.138|0.199|0.225|0.250
KH0471,Unknown,98,2,0,Ica & Paracas,0.713,Ica & Paracas|Ica & Paracas|Central Coast|Central Coast|Ica & Paracas,0.282|0.541|0.743|0.744|0.778
KH0472,Unknown,194,8,1,Central Coast,0.598,Central Coast|Ica & Paracas|Central Coast|Chachapoyas|Central Coast,1.054|1.138|1.434|1.446|1.448
KH0473,Unknown,30,2,0,Central Coast,0.648,Central Coast|Central Coast|Ica & Paracas|Central Coast|Ica & Paracas,0.235|0.276|0.301|0.326|0.383
KH0475,Unknown,52,1,0,Central Coast,0.749,Central Coast|Central Coast|Central Coast|Ica & Paracas|Ica & Paracas,0.292|0.584|0.717|0.821|1.032
KH0476,Unknown,76,4,0,Central Coast,0.755,North Peru Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.459|0.491|0.571|0.634|0.738
KH0477,Unknown,71,5,0,Nazca & Far South,0.227,Nazca & Far South|Cañete–Pisco|Arica & N. Chile|Central Coast|Ica & Paracas,1.035|1.160|1.189|1.229|1.300
KH0487,Unknown,49,3,0,Central Coast,0.387,Nazca & Far South|North Peru Coast|Central Coast|Cañete–Pisco|Central Coast,1.278|1.379|1.433|1.440|1.448
KH0488,Unknown,75,4,0,Ica & Paracas,0.391,North Peru Coast|Ica & Paracas|Ica & Paracas|Central Coast|Central Coast,0.380|0.607|0.766|1.004|1.038
KH0568,Unknown,225,2,1,Central Coast,0.409,Central Coast|Chachapoyas|Ica & Paracas|Ica & Paracas|Central Coast,1.904|2.093|2.107|2.168|2.210
KH0570,Unknown,24,1,0,Ica & Paracas,0.567,Chachapoyas|Cañete–Pisco|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.264|0.310|0.320|0.330|0.331
KH0571,Unknown,55,0,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.335|0.423|0.437|0.454|0.478
KH0572,Unknown,11,2,0,Central Coast,0.508,Ica & Paracas|Central Coast|Central Coast|Central Coast|Ica & Paracas,0.083|0.151|0.211|0.234|0.327
KH0573,Unknown,39,4,0,Central Coast,0.723,Cañete–Pisco|Central Coast|Central Coast|Central Coast|Central Coast,0.687|1.013|1.036|1.049|1.125
KH0575,Unknown,66,4,0,Central Coast,0.825,Central Coast|Cañete–Pisco|Central Coast|Central Coast|Central Coast,0.423|0.886|1.003|1.007|1.031
KH0576,Unknown,86,4,0,Cañete–Pisco,0.817,Cañete–Pisco|Cañete–Pisco|Cañete–Pisco|Central Coast|Cañete–Pisco,0.968|0.984|1.032|1.178|1.286
KH0578,Unknown,9,0,0,Central Coast,0.599,Central Coast|Ica & Paracas|Cañete–Pisco|Central Coast|Central Coast,0.502|0.502|0.504|0.505|0.509
KH0579,Unknown,7,0,0,Ica & Paracas,0.413,Ica & Paracas|Central Coast|Ica & Paracas|Central Coast|Cañete–Pisco,0.479|0.483|0.643|0.643|0.644
KH0581,Unknown,32,3,0,Central Coast,0.897,Central Coast|Central Coast|Central Coast|Central Coast|Ica & Paracas,0.275|0.415|0.748|0.838|1.016
KH0582,Unknown,34,4,0,Central Coast,0.71,Ica & Paracas|Central Coast|Central Coast|Central Coast|Central Coast,0.446|0.511|0.627|1.016|1.056
KH0583,Unknown,46,4,0,Central Coast,0.798,Central Coast|Ica & Paracas|Central Coast|Central Coast|Central Coast,1.438|1.514|1.535|1.591|1.597
KH0584,Unknown,54,1,0,Central Coast,0.822,Central Coast|Central Coast|Chachapoyas|Central Coast|Central Coast,0.326|0.348|0.513|0.642|0.679
KH0585,Unknown,34,2,0,Central Coast,0.783,Central Coast|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.427|0.605|0.754|0.757|1.015
KH0586,Unknown,189,4,1,Central Coast,0.598,Central Coast|Ica & Paracas|Cañete–Pisco|Central Coast|Central Coast,0.562|0.691|0.880|0.903|1.051
KH0587,Unknown,180,4,0,Central Coast,0.502,Ica & Paracas|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.527|0.793|0.917|0.937|0.969
KH0588,Unknown,41,3,0,Ica & Paracas,0.423,Ica & Paracas|Ica & Paracas|Cañete–Pisco|Nazca & Far South|Central Coast,0.970|1.025|1.046|1.120|1.132
KH0589,Unknown,33,0,0,Central Coast,0.752,Cañete–Pisco|Central Coast|Central Coast|Central Coast|Central Coast,0.127|0.129|0.146|0.199|0.243
KH0590,Unknown,91,5,0,Central Coast,0.832,Central Coast|Central Coast|Central Coast|Ica & Paracas|Central Coast,0.602|1.132|1.136|1.158|1.182
KH0591,Unknown,45,2,0,Central Coast,0.635,Central Coast|Ica & Paracas|Cañete–Pisco|Ica & Paracas|Central Coast,0.124|0.483|0.599|0.664|0.902
KH0592,Unknown,65,3,0,Central Coast,0.804,Central Coast|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.694|0.943|1.019|1.043|1.044
KH0593,Unknown,82,1,0,Ica & Paracas,0.613,Ica & Paracas|Cañete–Pisco|Ica & Paracas|Central Coast|Ica & Paracas,0.348|0.408|0.417|0.418|0.418
KH0594,Unknown,41,0,0,Ica & Paracas,0.558,Ica & Paracas|Central Coast|Ica & Paracas|Cañete–Pisco|Central Coast,0.141|0.283|0.405|0.445|0.560
KH0595,Unknown,157,8,1,Central Coast,0.411,Chachapoyas|Central Coast|Central Coast|Nazca & Far South|Ica & Paracas,1.251|1.289|1.311|1.404|1.451
KH0596,Unknown,62,1,0,Central Coast,0.804,Central Coast|Central Coast|Chachapoyas|Central Coast|Central Coast,0.312|0.506|0.514|0.681|0.742
KH0597,Unknown,207,6,1,Ica & Paracas,0.501,Ica & Paracas|Ica & Paracas|Nazca & Far South|North Peru Coast|Cañete–Pisco,0.669|1.075|1.191|1.203|1.341
KH0598,Unknown,50,1,0,Central Coast,0.54,Arica & N. Chile|Central Coast|Chachapoyas|Central Coast|Central Coast,0.133|0.151|0.180|0.217|0.243
KH0599,Unknown,150,7,1,Cañete–Pisco,0.615,Cañete–Pisco|Ica & Paracas|Cañete–Pisco|Cañete–Pisco|Ica & Paracas,1.232|1.436|1.498|1.517|1.557
KH0600,Unknown,282,4,1,Central Coast,0.418,Central Coast|Cañete–Pisco|Ica & Paracas|Central Coast|Cañete–Pisco,1.125|1.183|1.314|1.314|1.453
KH0601,Unknown,367,6,1,Nazca & Far South,0.393,Central Coast|Chachapoyas|Nazca & Far South|Cañete–Pisco|Nazca & Far South,1.830|1.831|1.893|1.893|1.917
KH0602,Unknown,249,5,1,Cañete–Pisco,0.419,Cañete–Pisco|Cañete–Pisco|Ica & Paracas|Central Coast|Ica & Paracas,1.098|1.167|1.220|1.224|1.225
KH0603,Unknown,153,6,1,Chachapoyas,0.468,Chachapoyas|Cañete–Pisco|Cañete–Pisco|Central Coast|Ica & Paracas,0.297|1.015|1.024|1.073|1.083
KH0604,Unknown,90,4,0,Ica & Paracas,0.571,North Peru Coast|Ica & Paracas|Ica & Paracas|Central Coast|Ica & Paracas,0.604|0.746|0.827|1.035|1.056
KH0604A,Unknown,43,2,0,Central Coast,0.577,Ica & Paracas|Central Coast|Central Coast|Central Coast|Central Coast,0.158|0.344|0.441|0.532|0.639
KH0604B,Unknown,47,3,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.213|0.231|0.432|0.660|0.737
KH0605,Unknown,52,2,0,Central Coast,0.501,Cañete–Pisco|Central Coast|Central Coast|Central Coast|Ica & Paracas,0.518|1.030|1.034|1.044|1.055
KH0605A,Unknown,24,0,0,Ica & Paracas,0.508,Ica & Paracas|Central Coast|Ica & Paracas|Cañete–Pisco|Central Coast,0.162|0.218|0.374|0.453|0.571
KH0605B,Unknown,15,0,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.078|0.083|0.106|0.193|0.194
KH0605C,Unknown,15,1,0,Central Coast,0.72,Central Coast|Central Coast|Nazca & Far South|Central Coast|Cañete–Pisco,0.109|0.218|0.300|0.300|0.303
KH0606,Unknown,39,2,0,Ica & Paracas,0.712,Ica & Paracas|Ica & Paracas|Central Coast|Ica & Paracas|Central Coast,0.217|0.319|0.468|0.469|0.541
KH0606A,Unknown,25,2,0,Central Coast,0.592,Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.114|0.576|0.583|0.674|0.910
KH0606B,Unknown,11,0,0,Central Coast,0.397,Nazca & Far South|Central Coast|Ica & Paracas|Central Coast|Cañete–Pisco,0.091|0.108|0.113|0.116|0.138
KH0606C,Unknown,8,2,0,Central Coast,0.5,Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.184|0.571|0.726|0.783|0.987
KH0607,Unknown,211,7,1,Central Coast,0.64,Central Coast|Central Coast|Nazca & Far South|Central Coast|Nazca & Far South,1.139|1.231|1.423|1.516|1.611
KH0607A,Unknown,80,4,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.270|1.061|1.079|1.086|1.098
KH0607B,Unknown,43,3,0,Ica & Paracas,0.413,Ica & Paracas|Cañete–Pisco|Cañete–Pisco|Ica & Paracas|Central Coast,0.932|1.020|1.042|1.062|1.078
KH0607C,Unknown,73,3,0,Cañete–Pisco,0.607,Cañete–Pisco|Cañete–Pisco|Cañete–Pisco|Ica & Paracas|Central Coast,1.028|1.031|1.032|1.051|1.071
KH0607D,Unknown,23,2,0,Central Coast,0.722,Central Coast|Central Coast|Nazca & Far South|Central Coast|Ica & Paracas,0.163|0.184|0.341|0.394|0.401
