kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0005,p4,172,30,1,1,0,30.0,30,0.1744186046511628,sub
KH0005,p6,20,1,1,1,0,1.0,1,0.05,sub
KH0006,p1,11,20,1,1,0,20.0,20,1.8181818181818181,supra
KH0006,p10,0,2,2,2,0,1.0,1,,trivial_parent_zero
KH0006,p12,8,3,2,2,0,1.5,2,0.375,sub
KH0006,p16,4,5,1,1,0,5.0,5,1.25,partial_supra
KH0006,p18,0,1,1,1,0,1.0,1,,trivial_parent_zero
KH0006,p19,0,1,1,1,0,1.0,1,,trivial_parent_zero
KH0006,p2,12,6,2,2,0,3.0,5,0.5,partial_sub
KH0006,p20,2,6,1,1,0,6.0,6,3.0,supra
KH0006,p24,10,5,1,1,0,5.0,5,0.5,partial_sub
KH0006,p26,2,1,1,1,0,1.0,1,0.5,partial_sub
KH0006,p28,8,5,1,1,0,5.0,5,0.625,partial_sub
KH0006,p31,5,3,2,2,0,1.5,2,0.6,partial_sub
KH0006,p4,6,6,2,2,0,3.0,3,1.0,compliant
KH0006,p8,7,1,1,1,0,1.0,1,0.14285714285714285,sub
KH0007,p10,12,4,3,3,0,1.3333333333333333,2,0.3333333333333333,sub
KH0007,p14,120,16,5,5,0,3.2,8,0.13333333333333333,sub
KH0007,p16,20,8,1,1,0,8.0,8,0.4,sub
KH0007,p17,12,23,4,4,0,5.75,9,1.9166666666666667,supra
KH0007,p18,57,0,1,0,1,0.0,0,0.0,children_all_zero
KH0007,p21,127,31,5,5,0,6.2,9,0.2440944881889764,sub
KH0007,p24,14,19,5,4,1,3.8,16,1.3571428571428572,partial_supra
KH0007,p25,57,1,1,1,0,1.0,1,0.017543859649122806,children_all_zero
KH0007,p28,138,9,5,4,1,1.8,4,0.06521739130434782,sub
KH0007,p29,5,1,1,1,0,1.0,1,0.2,sub
KH0007,p30,42,9,2,2,0,4.5,8,0.21428571428571427,sub
KH0007,p31,8,2,2,1,1,1.0,2,0.25,sub
KH0007,p32,64,1,1,1,0,1.0,1,0.015625,children_all_zero
KH0007,p33,13,1,1,1,0,1.0,1,0.07692307692307693,sub
KH0007,p35,140,7,4,4,0,1.75,3,0.05,sub
KH0007,p37,23,2,1,1,0,2.0,2,0.08695652173913043,sub
KH0007,p38,7,4,2,2,0,2.0,3,0.5714285714285714,partial_sub
KH0007,p39,46,2,1,1,0,2.0,2,0.043478260869565216,children_all_zero
KH0007,p40,5,1,1,1,0,1.0,1,0.2,sub
KH0007,p42,93,9,3,3,0,3.0,4,0.0967741935483871,sub
KH0007,p9,28,4,1,1,0,4.0,4,0.14285714285714285,sub
KH0008,p131,47,1,1,1,0,1.0,1,0.02127659574468085,children_all_zero
KH0008,p133,131,1,1,1,0,1.0,1,0.007633587786259542,children_all_zero
KH0008,p136,6,16,3,3,0,5.333333333333333,14,2.6666666666666665,supra
KH0008,p137,28,1,1,1,0,1.0,1,0.03571428571428571,children_all_zero
KH0008,p140,83,17,4,4,0,4.25,14,0.20481927710843373,sub
KH0008,p2,16,1,1,1,0,1.0,1,0.0625,sub
KH0008,p51,80,0,1,0,1,0.0,0,0.0,children_all_zero
KH0008,p55,26,1,1,1,0,1.0,1,0.038461538461538464,children_all_zero
KH0008,p60,8,0,2,0,2,0.0,0,0.0,children_all_zero
KH0008,p61,24,0,1,0,1,0.0,0,0.0,children_all_zero
KH0008,p63,19,0,1,0,1,0.0,0,0.0,children_all_zero
KH0008,p64,14,1,2,1,1,0.5,1,0.07142857142857142,sub
KH0008,p67,47,5,1,1,0,5.0,5,0.10638297872340426,sub
KH0008,p68,15,3,2,2,0,1.5,2,0.2,sub
KH0008,p69,48,1,1,1,0,1.0,1,0.020833333333333332,children_all_zero
KH0008,p75,16,1,1,1,0,1.0,1,0.0625,sub
KH0008,p78,14,1,1,1,0,1.0,1,0.07142857142857142,sub
KH0009,p10,1252,66,1,1,0,66.0,66,0.052715654952076675,sub
KH0009,p11,2048,836,2,2,0,418.0,753,0.408203125,sub
KH0009,p17,164,44,1,1,0,44.0,44,0.2682926829268293,sub
KH0009,p186,37,27,2,2,0,13.5,23,0.7297297297297297,partial_sub
KH0009,p187,20,18,1,1,0,18.0,18,0.9,partial_sub
KH0009,p214,67,56,2,2,0,28.0,37,0.835820895522388,partial_sub
KH0009,p215,46,46,2,2,0,23.0,33,1.0,compliant
KH0009,p216,27,12,2,1,1,6.0,12,0.4444444444444444,sub
KH0009,p218,18,0,1,0,1,0.0,0,0.0,children_all_zero
KH0009,p225,668,100,1,1,0,100.0,100,0.1497005988023952,sub
KH0009,p227,6,6,5,4,1,1.2,2,1.0,compliant
KH0009,p5,1460,66,1,1,0,66.0,66,0.045205479452054796,children_all_zero
KH0009,p6,3027,83,1,1,0,83.0,83,0.02741988767756855,children_all_zero
KH0009,p85,19,282,1,1,0,282.0,282,14.842105263157896,supra
KH0010,p17,0,5,2,2,0,2.5,4,,trivial_parent_zero
KH0010,p18,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0010,p6,0,2,2,1,1,1.0,2,,trivial_parent_zero
KH0011,p1,33,18,1,1,0,18.0,18,0.5454545454545454,partial_sub
KH0012,p1,62,4,1,1,0,4.0,4,0.06451612903225806,sub
KH0012,p2,44,3,1,1,0,3.0,3,0.06818181818181818,sub
KH0012,p3,64,4,1,1,0,4.0,4,0.0625,sub
KH0012,p4,42,2,1,1,0,2.0,2,0.047619047619047616,children_all_zero
KH0012,p5,25,3,1,1,0,3.0,3,0.12,sub
KH0012,p6,44,3,1,1,0,3.0,3,0.06818181818181818,sub
KH0012,p7,50,6,1,1,0,6.0,6,0.12,sub
KH0012,p8,25,2,1,1,0,2.0,2,0.08,sub
KH0012,p9,27,2,1,1,0,2.0,2,0.07407407407407407,sub
