khipu_id,kfg_pp,kfg_ip,kfg_cp,kfg_sp,kfg_gg,kfg_gsb,kfg_is,kfg_psn,kfg_adg,kfg_any,kcat_pp,kcat_ip,kcat_cp,kcat_sp,kcat_gg,kcat_gsb,kcat_is,kcat_psn,kcat_adg,kcat_any,_merge
KH0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0065,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,both
KH0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0068,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,both
KH0069,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0070,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0071,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,both
KH0073,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,both
KH0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0075,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,both
KH0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,both
KH0078,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0079,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,both
KH0080,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,both
KH0081,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,both
KH0082,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,both
KH0083,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,both
KH0084,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,both
KH0085,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,both
KH0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0087,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,both
KH0088,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,both
KH0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0090,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0091,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,both
KH0092,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,both
KH0093,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,both
KH0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0097,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,both
KH0098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,both
KH0100,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0101,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,both
KH0102,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,both
KH0103,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,both
KH0104,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,both
KH0105,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0106,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,both
KH0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,both
KH0108,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,both
KH0109,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,both
KH0110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,both
KH0111,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,both
KH0112,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,both
KH0113,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,both
KH0114,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,both
KH0115,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,both
KH0116,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,both
KH0117,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0119,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,both
KH0120,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,both
KH0121,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,both
KH0122,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,both
KH0123,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,both
KH0124,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,both
KH0125,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,both
KH0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0127,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0128,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,both
KH0129,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,both
KH0130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,both
KH0132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0134,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,both
KH0135,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,both
KH0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0137,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0138,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,both
KH0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0141,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,both
KH0142,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,both
KH0143,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,both
KH0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0145,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,both
KH0147,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,both
KH0148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0149,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,both
KH0150,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,both
KH0151,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0152,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,both
KH0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,both
KH0154,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,both
KH0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0156,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,both
KH0157,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,both
KH0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0159,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,both
