color_code,n_entries,pct_entries,n_khipus,pct_khipus
VR,67,0.08785963439901387,5,0.7052186177715092
SR,65,0.08523695874531197,14,1.9746121297602257
GA,62,0.08130294526475912,15,2.1156558533145273
AB-GG,62,0.08130294526475912,17,2.3977433004231314
KG,61,0.07999160743790816,13,1.8335684062059237
W-HB,61,0.07999160743790816,7,0.9873060648801129
DB-CB,61,0.07999160743790816,1,0.14104372355430184
W-RL,60,0.0786802696110572,5,0.7052186177715092
MB-KB,60,0.0786802696110572,15,2.1156558533145273
RG,58,0.0760575939573553,16,2.2566995768688294
W-B,57,0.07474625613050434,6,0.846262341325811
SY,56,0.07343491830365338,5,0.7052186177715092
GR,55,0.07212358047680244,12,1.692524682651622
AB-KB,52,0.06818956699624958,15,2.1156558533145273
W-BY,51,0.06687822916939862,2,0.2820874471086037
W-YB,49,0.06425555351569671,9,1.2693935119887165
LD,47,0.06163287786199481,6,0.846262341325811
W-CB,46,0.06032154003514386,4,0.5641748942172073
RD,41,0.05376485090088909,7,0.9873060648801129
DG,41,0.05376485090088909,11,1.5514809590973202
W-BG,38,0.04983083742033623,10,1.4104372355430184
R0,37,0.048519499593485275,9,1.2693935119887165
W-LB,36,0.047208161766634324,8,1.1283497884344147
YG-DB,35,0.045896823939783365,1,0.14104372355430184
W-BS,32,0.041962810459230504,2,0.2820874471086037
W-GG,32,0.041962810459230504,11,1.5514809590973202
W-GR,32,0.041962810459230504,2,0.2820874471086037
0K,32,0.041962810459230504,3,0.4231311706629055
W-FB,29,0.03802879697867765,3,0.4231311706629055
0L,26,0.03409478349812479,9,1.2693935119887165
0Y,26,0.03409478349812479,3,0.4231311706629055
KB(0.0-5.0)/SR,23,0.03016077001757193,1,0.14104372355430184
YB-KB,22,0.028849432190720975,9,1.2693935119887165
W-NB,21,0.02753809436387002,6,0.846262341325811
TG,20,0.026226756537019065,4,0.5641748942172073
W-LA,20,0.026226756537019065,2,0.2820874471086037
W-LK,19,0.024915418710168113,6,0.846262341325811
BS(0.0-5.0)/BS,19,0.024915418710168113,1,0.14104372355430184
W-LG,19,0.024915418710168113,2,0.2820874471086037
D0,19,0.024915418710168113,9,1.2693935119887165
W-RB,18,0.023604080883317162,5,0.7052186177715092
YB-AB,17,0.022292743056466207,7,0.9873060648801129
VG,17,0.022292743056466207,8,1.1283497884344147
B-BD,17,0.022292743056466207,1,0.14104372355430184
W-BD,16,0.020981405229615252,1,0.14104372355430184
YB-MB,15,0.0196700674027643,9,1.2693935119887165
GG-KB,15,0.0196700674027643,3,0.4231311706629055
SB,15,0.0196700674027643,4,0.5641748942172073
AB-HB,14,0.018358729575913346,4,0.5641748942172073
B-GG,13,0.017047391749062394,4,0.5641748942172073
RB(0.0-0.0)/AB(0.0-0.0),13,0.017047391749062394,2,0.2820874471086037
MB-HB,13,0.017047391749062394,5,0.7052186177715092
KB(0.0-5.0)/W,12,0.015736053922211442,2,0.2820874471086037
GG-MB,12,0.015736053922211442,6,0.846262341325811
YY%KB,12,0.015736053922211442,1,0.14104372355430184
AB(15.5-25.5),12,0.015736053922211442,1,0.14104372355430184
AB%RB,12,0.015736053922211442,2,0.2820874471086037
AB-B,12,0.015736053922211442,3,0.4231311706629055
AB%MB,11,0.014424716095360487,4,0.5641748942172073
RM-MB,11,0.014424716095360487,1,0.14104372355430184
KB(0.0-2.0)/W,10,0.013113378268509533,1,0.14104372355430184
RB(0.0-0.0)/MB(0.0-0.0),10,0.013113378268509533,2,0.2820874471086037
DB(0.0-5.0)/DB,10,0.013113378268509533,1,0.14104372355430184
AB-GL,10,0.013113378268509533,4,0.5641748942172073
NB-MB,10,0.013113378268509533,3,0.4231311706629055
W-PB,9,0.011802040441658581,4,0.5641748942172073
0R,9,0.011802040441658581,2,0.2820874471086037
FB(0.0-2.0)/W(2.0-5.0)/W,9,0.011802040441658581,2,0.2820874471086037
B-BB,9,0.011802040441658581,1,0.14104372355430184
MB(0.0-0.0)/AB(0.0-0.0),9,0.011802040441658581,3,0.4231311706629055
B-YG,8,0.010490702614807626,1,0.14104372355430184
MB-LC,8,0.010490702614807626,2,0.2820874471086037
W-BB,8,0.010490702614807626,2,0.2820874471086037
B-CB,7,0.009179364787956673,1,0.14104372355430184
0G(0.0-2.0)/W(2.0-5.0)/W,7,0.009179364787956673,1,0.14104372355430184
SY(0.0-2.0)/W(2.0-5.0)/W,7,0.009179364787956673,1,0.14104372355430184
NB-KB,7,0.009179364787956673,2,0.2820874471086037
BS(0.0-5.0)/SY,7,0.009179364787956673,1,0.14104372355430184
GB-LB,7,0.009179364787956673,1,0.14104372355430184
BL-AB,7,0.009179364787956673,4,0.5641748942172073
W-LC,6,0.007868026961105721,4,0.5641748942172073
AB-NB,6,0.007868026961105721,2,0.2820874471086037
DB(0.0-5.0)/SY,6,0.007868026961105721,1,0.14104372355430184
DB(0.0-3.0)/W(3.0-38.0),6,0.007868026961105721,1,0.14104372355430184
MB-CB,6,0.007868026961105721,2,0.2820874471086037
BS(0.0-5.0)/0G,6,0.007868026961105721,1,0.14104372355430184
MB(0.0-0.0)/MB(0.0-0.0),6,0.007868026961105721,2,0.2820874471086037
YB-MG,6,0.007868026961105721,1,0.14104372355430184
YB-0G,6,0.007868026961105721,2,0.2820874471086037
BS(0.0-5.0)/SR,6,0.007868026961105721,1,0.14104372355430184
PK-GG,6,0.007868026961105721,2,0.2820874471086037
MB-YG,6,0.007868026961105721,3,0.4231311706629055
