cord_id,kfg_id,cord_name,hierarchy_level,value_num,primary_color,is_banded,attachment,twist,beh_label,typology_label
104,HM45419C,p15,0,0,YB,False,V,S,B2,T1
105,HM45419C,p16,0,0,DB,False,R,S,B2,T1
106,HM45419C,p17,0,0,MB,False,R,S,B2,T1
107,HM45419C,p18,0,0,MB,False,R,S,B2,T1
108,HM45419C,p19,0,0,YB,False,R,S,B2,T1
109,HM45419C,p20,0,0,DB,False,R,S,B2,T1
110,HM45419C,p21,0,0,DB,False,R,S,B2,T1
111,HM45419C,p22,0,0,DB,False,V,S,B2,T1
112,HM45419C,p23,0,0,YB,False,V,S,B2,T1
113,HM45419C,p24,0,0,DB,False,V,S,B2,T1
114,HM45419C,p25,0,2,DB,False,V,S,B2,T1
115,HM45419C,p26,0,8,MB,False,V,S,B2,T1
116,HM45419C,p27,0,6,YB,False,V,S,B2,T1
117,HM45419C,p28,0,4,DB,False,V,S,B2,T1
118,HM45419C,p29,0,9,DB,False,V,S,B2,T1
119,HM45419C,p30,0,0,DB,False,V,S,B2,T1
120,HM45419C,p31,0,0,YB,False,V,S,B2,T1
121,HM45419C,p32,0,0,DB,False,V,S,B2,T1
122,HM45419C,p33,0,1,MB,False,V,S,B2,T1
123,HM45419C,p34,0,0,MB,False,V,S,B2,T1
124,HM45419C,p35,0,0,YB,False,V,S,B2,T1
125,HM45419C,p36,0,1,DB,False,V,S,B2,T1
126,HM45419C,p37,0,1,DB,False,R,S,B2,T1
127,KH0001,p1,0,50,W,False,U,U,B4,T1
128,KH0001,p2,0,46,AB,True,V,Z,B4,T1
129,KH0001,p3,0,48,W,False,V,Z,B4,T1
130,KH0001,p4,0,100,W,False,V,Z,B4,T1
131,KH0001,p5,0,39,W,False,V,Z,B4,T1
132,KH0001,p6,0,60,W,False,V,Z,B4,T1
133,KH0001,p6s1,1,37,AB,True,U,Z,B4,T1
134,KH0001,p7,0,54,W,False,V,Z,B4,T1
135,KH0001,p8,0,67,W,True,V,Z,B4,T1
136,KH0001,p8s1,1,43,W,False,U,Z,B4,T1
137,KH0001,p9,0,136,W,False,V,Z,B4,T1
138,KH0001,p10,0,110,W,False,V,Z,B4,T1
139,KH0001,p10s1,1,49,VR,False,U,Z,B4,T1
140,KH0001,p10s1s1,2,58,W,True,U,Z,B4,T1
141,KH0001,p11,0,28,AB,True,V,Z,B4,T1
142,KH0001,p12,0,19,AB,True,V,Z,B4,T1
143,KH0001,p13,0,20,W,False,V,Z,B4,T1
144,KH0001,p14,0,41,W,False,V,Z,B4,T1
145,KH0001,p15,0,68,W,False,V,Z,B4,T1
146,KH0001,p16,0,57,W,True,V,Z,B4,T1
147,KH0001,p16s1,1,60,W,False,U,Z,B4,T1
148,KH0001,p17,0,61,W,False,V,Z,B4,T1
149,KH0001,p18,0,26,AB,False,V,Z,B4,T1
150,KH0001,p18s1,1,39,W,True,U,Z,B4,T1
151,KH0001,p19,0,100,W,False,V,Z,B4,T1
152,KH0001,p20,0,110,W,True,V,Z,B4,T1
153,KH0001,p20s1,1,55,W,False,U,Z,B4,T1
154,KH0001,p20s1s1,2,65,W,True,U,Z,B4,T1
155,KH0001,p21,0,45,AB,False,V,Z,B4,T1
156,KH0001,p22,0,93,W,False,V,Z,B4,T1
157,KH0001,p23,0,71,W,False,V,Z,B4,T1
158,KH0001,p24,0,37,W,False,V,Z,B4,T1
159,KH0001,p25,0,54,W,False,V,Z,B4,T1
160,KH0001,p25s1,1,116,W,True,U,Z,B4,T1
161,KH0001,p26,0,100,W,False,V,Z,B4,T1
162,KH0001,p26s1,1,30,VR,False,U,Z,B4,T1
163,KH0001,p26s1s1,2,104,W,True,U,Z,B4,T1
164,KH0001,p27,0,100,W,True,V,Z,B4,T1
165,KH0001,p27s1,1,115,W,False,U,Z,B4,T1
166,KH0001,p28,0,130,AB,False,V,Z,B4,T1
167,KH0001,p29,0,64,W,False,V,Z,B4,T1
168,KH0001,p30,0,49,W,False,V,Z,B4,T1
169,KH0001,p31,0,41,W,False,V,Z,B4,T1
170,KH0001,p31s1,1,84,W,True,U,Z,B4,T1
171,KH0001,p32,0,74,W,False,V,Z,B4,T1
172,KH0001,p33,0,81,W,False,V,S,B4,T1
173,KH0001,p34,0,49,W,False,V,Z,B4,T1
174,KH0001,p35,0,22,W,False,V,Z,B4,T1
175,KH0001,p35s1,1,110,W,True,U,Z,B4,T1
176,KH0001,p36,0,44,W,False,V,Z,B4,T1
177,KH0001,p37,0,19,W,False,V,Z,B4,T1
178,KH0001,p38,0,53,W,False,V,Z,B4,T1
179,KH0001,p38s1,1,17,W,True,U,Z,B4,T1
180,KH0001,p39,0,110,W,False,V,Z,B4,T1
181,KH0001,p40,0,110,W,False,V,Z,B4,T1
182,KH0001,p41,0,49,W,False,V,Z,B4,T1
183,KH0001,p42,0,47,W,False,V,Z,B4,T1
184,KH0001,p43,0,120,W,False,V,Z,B4,T1
185,KH0001,p44,0,78,W,False,V,Z,B4,T1
186,KH0001,p45,0,80,W,False,V,Z,B4,T1
187,KH0001,p45s1,1,48,VR,False,U,Z,B4,T1
188,KH0001,p45s1s1,2,140,W,True,U,Z,B4,T1
189,KH0001,p46,0,49,W,True,V,Z,B4,T1
190,KH0001,p46s1,1,160,W,False,U,Z,B4,T1
191,KH0001,p47,0,81,W,False,V,Z,B4,T1
192,KH0001,p48,0,45,W,True,V,Z,B4,T1
193,KH0001,p48s1,1,88,W,False,U,Z,B4,T1
194,KH0001,p49,0,42,W,False,V,Z,B4,T1
195,KH0001,p50,0,98,W,False,V,Z,B4,T1
196,KH0001,p51,0,76,W,False,V,Z,B4,T1
197,KH0001,p52,0,115,W,False,V,Z,B4,T1
198,KH0001,p53,0,86,W,False,V,Z,B4,T1
199,KH0001,p54,0,72,W,False,V,Z,B4,T1
200,KH0001,p55,0,75,W,False,V,Z,B4,T1
201,KH0001,p56,0,110,W,False,V,Z,B4,T1
202,KH0001,p57,0,27,W,False,V,Z,B4,T1
203,KH0001,p58,0,70,W,False,V,Z,B4,T1
204,KH0001,p58s1,1,66,W,True,U,Z,B4,T1
205,KH0001,p58s1s1,2,46,W,True,U,Z,B4,T1
