kfg_id,typology_label,geo_zone,provenance_display,beh_cluster,beh_label,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
KH0596,T1,,Unknown,3,B4,5.0,0.532258064516129,0.30303030303030304,0.09489953210290655,2,0.8285714285714286,0.05714285714285714,1,0,0,0,0,0,0,0,0
KH0597,T1,,Unknown,2,B3,3.0,0.9130434782608695,0.13227513227513227,0.020120679577681645,1,0.6071428571428571,0.21428571428571427,1,1,1,1,1,0,0,1,0
KH0598,T1,,Unknown,5,B6,100.0,0.68,0.4411764705882353,0.13752053339317613,1,0.3333333333333333,0.015151515151515152,1,0,0,0,0,0,0,0,0
KH0599,T1,,Unknown,3,B4,25.0,0.9266666666666666,0.2302158273381295,0.043360498458449866,2,0.4141791044776119,0.08582089552238806,1,1,1,1,0,1,1,0,1
KH0600,T1,,Unknown,3,B4,9.0,0.7553191489361702,0.23943661971830985,0.022805391496854975,2,0.4440677966101695,0.17288135593220338,1,0,1,1,0,0,0,1,0
KH0601,T1,,Unknown,2,B3,4.0,0.4141689373297003,0.15789473684210525,0.024583745265402024,1,0.6342857142857142,0.17142857142857143,1,1,1,1,1,0,0,0,1
KH0602,T1,,Unknown,2,B3,20.0,0.6305220883534136,0.4140127388535032,0.034938878736900846,1,0.3780487804878049,0.06910569105691057,1,1,1,1,0,0,1,0,0
KH0603,T1,,Unknown,3,B4,23.0,0.8235294117647058,0.2619047619047619,0.04534767289289559,2,0.3656387665198238,0.039647577092511016,1,1,1,1,0,0,0,1,1
KH0604,T1,,Unknown,2,B3,10.0,0.6777777777777778,0.16393442622950818,0.0638661196511362,1,0.40217391304347827,0.1956521739130435,1,1,1,0,0,0,0,1,0
KH0604A,T1,,Unknown,2,B3,10.0,0.813953488372093,0.17142857142857143,0.09574373439636436,1,0.39215686274509803,0.1568627450980392,1,1,0,0,0,0,0,0,0
KH0604B,T1,,Unknown,2,B3,5.5,0.6382978723404256,0.13333333333333333,0.11521882540436512,1,0.4146341463414634,0.24390243902439024,1,1,1,0,0,0,0,0,0
KH0605,T1,,Unknown,2,B3,5.0,0.40384615384615385,0.14285714285714285,0.1584447571468337,1,0.56,0.2,1,0,0,0,0,0,0,0,1
KH0605A,T1,,Unknown,4,B5,6.0,0.20833333333333334,0.4,0.46438561897747255,1,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0,0
KH0605B,T1,,Unknown,0,B1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0
KH0605C,T1,,Unknown,2,B3,3.0,0.9333333333333333,0.14285714285714285,0.2005253515755432,0,0.6428571428571429,0.2857142857142857,0,0,0,0,0,0,0,0,1
KH0606,T1,,Unknown,2,B3,10.0,0.7435897435897436,0.27586206896551724,0.136286309574565,1,0.4722222222222222,0.1111111111111111,1,0,0,0,0,0,0,0,1
KH0606A,T1,,Unknown,2,B3,7.5,0.64,0.125,0.20798872069467397,1,0.5,0.2,1,0,0,0,0,0,0,0,1
KH0606B,T1,,Unknown,5,B6,30.0,0.8181818181818182,0.7777777777777778,0.2534484569503804,1,0.18181818181818182,0.0,0,0,0,0,0,0,0,0,0
KH0606C,T1,,Unknown,4,B5,8.0,0.625,0.0,0.3843856189774725,0,0.8333333333333334,0.0,1,0,0,0,0,0,0,0,1
KH0607,T1,,Unknown,2,B3,12.0,0.95260663507109,0.1691542288557214,0.025252879505431917,1,0.44625407166123776,0.1465798045602606,1,1,1,0,1,1,0,1,1
KH0607A,T1,,Unknown,2,B3,32.5,0.925,0.17567567567567569,0.06861777631385826,0,0.4244604316546763,0.06474820143884892,1,1,1,0,0,1,0,0,0
KH0607B,T1,,Unknown,2,B3,4.0,0.9302325581395349,0.175,0.08797749366064987,1,0.5384615384615384,0.17307692307692307,1,1,0,0,0,0,0,1,0
KH0607C,T1,,Unknown,2,B3,2.0,0.9041095890410958,0.09090909090909091,0.050070306516018154,1,0.5256410256410257,0.2692307692307692,1,0,1,0,0,0,0,1,0
KH0607D,T1,,Unknown,5,B6,13.0,0.9130434782608695,0.38095238095238093,0.16297990453912398,1,0.23684210526315788,0.15789473684210525,1,0,1,0,0,0,0,0,0
KH0608,T1,Cañete–Pisco,Incahuasi,2,B3,10.0,1.0,0.5277777777777778,0.09664084463630125,0,0.375,0.1,1,0,1,0,1,0,0,0,1
KH0609,T1,Cañete–Pisco,Incahuasi,4,B5,2.0,1.0,0.0,0.375,0,0.75,0.25,0,0,0,0,0,1,0,0,0
KH0610,T1,Cañete–Pisco,Incahuasi,4,B5,9.0,1.0,0.25,0.28125,0,0.5555555555555556,0.1111111111111111,0,0,0,0,0,0,0,0,1
KH0611,T1,Cañete–Pisco,Incahuasi,2,B3,3.0,0.84375,0.07407407407407407,0.1002712620620979,2,0.7741935483870968,0.22580645161290322,0,0,0,0,0,0,0,1,0
KH0612,T1,Cañete–Pisco,Incahuasi,3,B4,8.0,0.7202072538860104,0.2517985611510791,0.03358721892243054,2,0.42473118279569894,0.22043010752688172,1,1,1,1,0,0,0,1,0
KH0613,T1,Cañete–Pisco,Incahuasi,2,B3,10.0,0.9230769230769231,0.3333333333333333,0.21541354172676308,1,0.5294117647058824,0.11764705882352941,0,0,0,0,0,0,0,0,0
KH0614,T1,Cañete–Pisco,Incahuasi,5,B6,5710.0,0.8333333333333334,0.6,0.3843856189774725,1,0.15384615384615385,0.0,0,0,0,0,0,0,0,0,0
KH0615,T1,Cañete–Pisco,Incahuasi,4,B5,3.0,1.0,0.16666666666666666,0.2987468750600964,0,1.0,0.0,0,0,0,0,0,0,0,0,0
KH0616,T1,Cañete–Pisco,Incahuasi,3,B4,4.0,0.9368421052631579,0.25842696629213485,0.044046867069400295,2,0.5217391304347826,0.20869565217391303,1,1,1,1,0,1,0,0,1
