khipu_id,wm_load,chunks_required,n_boundaries,boundary_reduction,exceeds_capacity,depth,num_cords,avg_branching
1000000,5.874850142962362,2.5714285714285716,4,0.6965784284662087,False,2.0,18,3.0
1000001,2.82229130258318,0.8571428571428571,6,0.8422064766172812,False,1.0,6,6.0
1000002,8.189911172856975,4.285714285714286,7,0.8999999999999999,False,2.0,30,4.285714285714286
1000003,9.437865855094266,5.428571428571429,10,1.0378294855911891,False,2.0,38,4.75
1000004,30.25089053402724,25.142857142857142,80,1.9019550008653872,True,2.0,176,10.352941176470589
1000005,11.988421035665398,8.857142857142858,56,1.7498670042494224,True,2.0,62,4.428571428571429
1000006,15.980437207525284,11.428571428571429,5,0.7754887502163468,True,3.0,80,2.4242424242424243
1000007,53.26354058729928,49.0,97,1.9844129532345625,True,3.0,343,3.2358490566037736
1000008,14.443870421542671,8.428571428571429,24,1.3931568569324173,True,3.0,59,4.538461538461538
1000009,21.825881138475914,18.0,31,1.5,True,3.0,126,2.423076923076923
1000010,21.132078592278482,12.571428571428571,20,1.3176952268336282,True,3.0,88,8.8
1000011,8.861730443004584,6.285714285714286,23,1.3754887502163469,False,2.0,44,2.933333333333333
1000012,21.140853748586604,16.571428571428573,37,1.5743782540330755,True,3.0,116,3.135135135135135
1000013,9.239910596101161,4.285714285714286,0,0.0,False,1.0,30,30.0
1000014,10.53364179915787,5.285714285714286,0,0.0,False,1.0,37,37.0
1000015,11.660069603876192,4.571428571428571,0,0.0,False,2.0,32,10.666666666666666
1000017,9.314785593266983,5.571428571428571,6,0.8422064766172812,False,2.0,39,3.9
1000018,66.97057234047142,63.142857142857146,59,1.7720671786825555,True,3.0,442,2.6467065868263475
1000019,30.4809312359375,23.428571428571427,4,0.6965784284662087,True,2.0,164,13.666666666666666
1000020,118.68969187544052,109.85714285714286,178,2.2451447331792767,True,5.0,769,3.6445497630331753
1000021,21.289226238262014,17.428571428571427,17,1.2509775004326935,True,2.0,122,4.88
1000022,28.61459023347981,23.142857142857142,7,0.8999999999999999,True,2.0,162,8.1
1000023,88.61464993010838,81.71428571428571,153,2.1800359622084704,True,3.0,572,7.15
1000024,89.6769718843443,81.85714285714286,10,1.0378294855911891,True,3.0,573,6.741176470588235
1000025,132.90220622612196,124.85714285714286,41,1.6176952268336282,True,3.0,874,8.323809523809524
1000026,5.741353572870883,2.5714285714285716,0,0.0,False,2.0,18,2.0
1000027,5.933254844513377,2.857142857142857,1,0.3,False,2.0,20,2.2222222222222223
1000028,7.0,3.0,0,0.0,False,2.0,21,3.0
1000029,43.8242118987005,36.142857142857146,35,1.5509775004326936,True,3.0,253,7.4411764705882355
1000030,6.425702348074801,4.0,16,1.2262388523751018,False,2.0,28,2.5454545454545454
1000031,5.906890595608519,2.0,0,0.0,False,1.0,14,14.0
1000032,23.117238217956043,20.428571428571427,30,1.4862588931160625,True,2.0,143,3.25
1000033,12.553340178663305,9.714285714285714,35,1.5509775004326936,True,2.0,68,3.5789473684210527
1000034,16.948036273782154,14.285714285714286,26,1.4264662506490404,True,2.0,100,3.125
1000035,7.0995896275769645,5.142857142857143,12,1.1101319154423277,False,2.0,36,1.894736842105263
1000036,6.298482779488924,2.857142857142857,8,0.9509775004326936,False,1.0,20,20.0
1000037,9.93048930808498,5.285714285714286,10,1.0378294855911891,False,2.0,37,6.166666666666667
1000038,2.944360712843402,0.7142857142857143,3,0.6,False,2.0,5,1.6666666666666667
1000039,14.68973620566925,9.142857142857142,2,0.4754887502163468,True,1.0,64,64.0
1000040,19.09689359215252,14.428571428571429,39,1.5965784284662088,True,2.0,101,7.769230769230769
1000041,10.95853446545053,6.857142857142857,32,1.5133182358075359,False,1.0,48,48.0
1000042,15.666064957723398,10.428571428571429,27,1.442206476617281,True,2.0,73,9.125
1000043,5.5679580025328175,3.0,4,0.6965784284662087,False,2.0,21,2.1
1000044,6.617646144487773,4.0,4,0.6965784284662087,False,2.0,28,2.1538461538461537
1000045,48.90244513377844,44.857142857142854,284,2.4464454327156315,True,2.0,314,8.486486486486486
1000046,8.525028593984759,2.857142857142857,17,1.2509775004326935,False,2.0,20,10.0
